SampleID,AlgalType,BV.um3.per.mL,,SampleDate,Season,Month,StationCode,Region,RegionAbbreviation,SampleType
2018-07-09-D16-Regular,Cryptophyte,118140.8064,,7/9/2018,Summer,Jul,D16,Central Delta,CED,Regular
2018-07-09-D16-Regular,Cyanobacterium,739384.128,,7/9/2018,Summer,Jul,D16,Central Delta,CED,Regular
2018-07-09-D16-Regular,Green Alga,9436.5504,,7/9/2018,Summer,Jul,D16,Central Delta,CED,Regular
2018-07-09-D16-Surface,Cryptophyte,213299.238,,7/9/2018,Summer,Jul,D16,Central Delta,CED,Surface
2018-07-09-D16-Surface,Cyanobacterium,681190.323,,7/9/2018,Summer,Jul,D16,Central Delta,CED,Surface
2018-07-09-D16-Surface,Green Alga,22316.5392,,7/9/2018,Summer,Jul,D16,Central Delta,CED,Surface
2018-07-09-D26-Regular,Cyanobacterium,496736.4096,,7/9/2018,Summer,Jul,D26,Central Delta,CED,Regular
2018-07-09-D26-Regular,Green Alga,28598.6784,,7/9/2018,Summer,Jul,D26,Central Delta,CED,Regular
2018-07-09-D26-Regular,Pennate Diatom,616468.7424,,7/9/2018,Summer,Jul,D26,Central Delta,CED,Regular
2018-07-09-D26-Surface,Centric Diatom,13972.0516,,7/9/2018,Summer,Jul,D26,Central Delta,CED,Surface
2018-07-09-D26-Surface,Cyanobacterium,38615.1752,,7/9/2018,Summer,Jul,D26,Central Delta,CED,Surface
2018-07-09-D26-Surface,Green Alga,29947.9956,,7/9/2018,Summer,Jul,D26,Central Delta,CED,Surface
2018-07-09-D26-Surface,Pennate Diatom,11753.5112,,7/9/2018,Summer,Jul,D26,Central Delta,CED,Surface
2018-07-09-MD10A-Regular,Centric Diatom,100819.236,,7/9/2018,Summer,Jul,MD10A,Southern Interior Delta,SID,Regular
2018-07-09-MD10A-Regular,Cyanobacterium,40776.1632,,7/9/2018,Summer,Jul,MD10A,Southern Interior Delta,SID,Regular
2018-07-09-MD10A-Regular,Green Alga,42317.056,,7/9/2018,Summer,Jul,MD10A,Southern Interior Delta,SID,Regular
2018-07-09-MD10A-Regular,Pennate Diatom,10582.1388,,7/9/2018,Summer,Jul,MD10A,Southern Interior Delta,SID,Regular
2018-07-09-MD10A-Surface,Centric Diatom,77706.1968,,7/9/2018,Summer,Jul,MD10A,Southern Interior Delta,SID,Surface
2018-07-09-MD10A-Surface,Cryptophyte,1026012.52,,7/9/2018,Summer,Jul,MD10A,Southern Interior Delta,SID,Surface
2018-07-09-MD10A-Surface,Cyanobacterium,104941.6779,,7/9/2018,Summer,Jul,MD10A,Southern Interior Delta,SID,Surface
2018-07-09-MD10A-Surface,Green Alga,48006.7141,,7/9/2018,Summer,Jul,MD10A,Southern Interior Delta,SID,Surface
2018-07-09-P8-Regular,Centric Diatom,56475.1166,,7/9/2018,Summer,Jul,P8,Southern Interior Delta,SID,Regular
2018-07-09-P8-Regular,Cryptophyte,651805.0882,,7/9/2018,Summer,Jul,P8,Southern Interior Delta,SID,Regular
2018-07-09-P8-Regular,Cyanobacterium,578858.4459,,7/9/2018,Summer,Jul,P8,Southern Interior Delta,SID,Regular
2018-07-09-P8-Regular,Green Alga,33462.8175,,7/9/2018,Summer,Jul,P8,Southern Interior Delta,SID,Regular
2018-07-09-P8-Surface,Cyanobacterium,384564.5424,,7/9/2018,Summer,Jul,P8,Southern Interior Delta,SID,Surface
