SampleID,AlgalType,Units.per.mL,,SampleDate,Season,Month,StationCode,Region,RegionAbbreviation,SampleType
2018-07-09-D16-Regular,Cryptophyte,375.36,,7/9/2018,Summer,Jul,D16,Central Delta,CED,Regular
2018-07-09-D16-Regular,Cyanobacterium,153146.88,,7/9/2018,Summer,Jul,D16,Central Delta,CED,Regular
2018-07-09-D16-Regular,Green Alga,2252.16,,7/9/2018,Summer,Jul,D16,Central Delta,CED,Regular
2018-07-09-D16-Surface,Cryptophyte,500.82,,7/9/2018,Summer,Jul,D16,Central Delta,CED,Surface
2018-07-09-D16-Surface,Cyanobacterium,95907.03,,7/9/2018,Summer,Jul,D16,Central Delta,CED,Surface
2018-07-09-D16-Surface,Green Alga,6009.84,,7/9/2018,Summer,Jul,D16,Central Delta,CED,Surface
2018-07-09-D26-Regular,Cyanobacterium,158401.92,,7/9/2018,Summer,Jul,D26,Central Delta,CED,Regular
2018-07-09-D26-Regular,Green Alga,2252.16,,7/9/2018,Summer,Jul,D26,Central Delta,CED,Regular
2018-07-09-D26-Regular,Pennate Diatom,2252.16,,7/9/2018,Summer,Jul,D26,Central Delta,CED,Regular
2018-07-09-D26-Surface,Centric Diatom,153.32,,7/9/2018,Summer,Jul,D26,Central Delta,CED,Surface
2018-07-09-D26-Surface,Cyanobacterium,62094.6,,7/9/2018,Summer,Jul,D26,Central Delta,CED,Surface
2018-07-09-D26-Surface,Green Alga,2606.44,,7/9/2018,Summer,Jul,D26,Central Delta,CED,Surface
2018-07-09-D26-Surface,Pennate Diatom,153.32,,7/9/2018,Summer,Jul,D26,Central Delta,CED,Surface
2018-07-09-MD10A-Regular,Centric Diatom,862.44,,7/9/2018,Summer,Jul,MD10A,Southern Interior Delta,SID,Regular
2018-07-09-MD10A-Regular,Cyanobacterium,110967.28,,7/9/2018,Summer,Jul,MD10A,Southern Interior Delta,SID,Regular
2018-07-09-MD10A-Regular,Green Alga,4599.68,,7/9/2018,Summer,Jul,MD10A,Southern Interior Delta,SID,Regular
2018-07-09-MD10A-Regular,Pennate Diatom,287.48,,7/9/2018,Summer,Jul,MD10A,Southern Interior Delta,SID,Regular
2018-07-09-MD10A-Surface,Centric Diatom,1126.83,,7/9/2018,Summer,Jul,MD10A,Southern Interior Delta,SID,Surface
2018-07-09-MD10A-Surface,Cryptophyte,1878.05,,7/9/2018,Summer,Jul,MD10A,Southern Interior Delta,SID,Surface
2018-07-09-MD10A-Surface,Cyanobacterium,147239.12,,7/9/2018,Summer,Jul,MD10A,Southern Interior Delta,SID,Surface
2018-07-09-MD10A-Surface,Green Alga,13146.35,,7/9/2018,Summer,Jul,MD10A,Southern Interior Delta,SID,Surface
2018-07-09-P8-Regular,Centric Diatom,459.97,,7/9/2018,Summer,Jul,P8,Southern Interior Delta,SID,Regular
2018-07-09-P8-Regular,Cryptophyte,1379.91,,7/9/2018,Summer,Jul,P8,Southern Interior Delta,SID,Regular
2018-07-09-P8-Regular,Cyanobacterium,192267.46,,7/9/2018,Summer,Jul,P8,Southern Interior Delta,SID,Regular
2018-07-09-P8-Regular,Green Alga,6899.55,,7/9/2018,Summer,Jul,P8,Southern Interior Delta,SID,Regular
2018-07-09-P8-Surface,Cyanobacterium,148741.56,,7/9/2018,Summer,Jul,P8,Southern Interior Delta,SID,Surface
2018-07-09-P8-Surface,Green Alga,9014.64,,7/9/2018,Summer,Jul,P8,Southern Interior Delta,SID,Surface
2018-07-10-D10-Regular,Centric Diatom,574.96,,7/10/2018,Summer,Jul,D10,Confluence,CON,Regular
2018-07-10-D10-Regular,Cryptophyte,574.96,,7/10/2018,Summer,Jul,D10,Confluence,CON,Regular
2018-07-10-D10-Regular,Cyanobacterium,259306.96,,7/10/2018,Summer,Jul,D10,Confluence,CON,Regular
2018-07-10-D10-Surface,Cyanobacterium,113554.6,,7/10/2018,Summer,Jul,D10,Confluence,CON,Surface
2018-07-10-D10-Surface,Green Alga,1437.4,,7/10/2018,Summer,Jul,D10,Confluence,CON,Surface
2018-07-10-D8-Regular,Centric Diatom,919.94,,7/10/2018,Summer,Jul,D8,Grizzly.Suisun Bay,GSB,Regular
2018-07-10-D8-Regular,Cryptophyte,919.94,,7/10/2018,Summer,Jul,D8,Grizzly.Suisun Bay,GSB,Regular
2018-07-10-D8-Regular,Cyanobacterium,378095.34,,7/10/2018,Summer,Jul,D8,Grizzly.Suisun Bay,GSB,Regular
2018-07-10-D8-Surface,Centric Diatom,255.54,,7/10/2018,Summer,Jul,D8,Grizzly.Suisun Bay,GSB,Surface
