StationCode,Region,RegionAbbreviation
D22,Confluence,CON
NZ068,Northern Interior Delta,NID
D19,Central Delta,CED
D12,Confluence,CON
D16,Central Delta,CED
D41A,San Pablo Bay,SPB
D41,San Pablo Bay,SPB
D28A,Central Delta,CED
D26,Central Delta,CED
NZ325,San Pablo Bay,SPB
NZS42,Grizzly.Suisun Bay,GSB
D10,Confluence,CON
EZ2,Low Salinity Zone,LSZ
EZ6,Low Salinity Zone,LSZ
D8,Grizzly.Suisun Bay,GSB
EZ2 SJR,Low Salinity Zone,LSZ
NZ002,San Pablo Bay,SPB
NZ004,San Pablo Bay,SPB
NZ032,Grizzly.Suisun Bay,GSB
D7,Grizzly.Suisun Bay,GSB
C9,Southern Interior Delta,SID
C3A,Northern Interior Delta,NID
MD10A,Southern Interior Delta,SID
C10A,Southern Interior Delta,SID
D4,Confluence,CON
P8,Southern Interior Delta,SID
D6,San Pablo Bay,SPB
EZ6 SJR,Low Salinity Zone,LSZ
