Station ID,FPT,Elevation,0 ft,,
River Basin,SACRAMENTO RIVER,County,SACRAMENTO,,
Hydrologic Area,SACRAMENTO RIVER,Nearby City,FREEPORT,,
Latitude,38.456112°,Longitude,-121.500300°,,
Operator,US Geological Survey,Maintenance,.None Specified,,
,,,,,
The following data types are available online. Select one of the links below to retrieve recent data.,,,,,
,,,,,
Sensor Description,Sensor Number,Duration,Plot,Data Collection,Data Available
"FLOW, RIVER DISCHARGE, CFS",20,(daily),(FLOW),COMPUTED,10/01/1948 to present
"WATER, TURBIDITY FNU, FNU",221,(daily),(TURB WF),COMPUTED,12/04/2009 to present
"FLOW, RIVER DISCHARGE, CFS",20,(event),(FLOW),DATA XCHG-USGS,10/29/2004 to present
"RIVER STAGE, FEET",1,(event),(RIV STG),DATA XCHG-USGS,05/06/2013 to present
"WATER, TURBIDITY FNU, FNU",221,(event),(TURB WF),DATA XCHG-USGS,12/03/2009 to present
"WATER, VELOCITY, FT/SEC",21,(event),(VLOCITY),DATA XCHG-USGS,05/06/2013 to present
"BATTERY VOLTAGE, VOLTS",14,(hourly),(BAT VOL),SATELLITE,10/29/2004 to present
"FLOW, RIVER DISCHARGE, CFS",20,(hourly),(FLOW),SATELLITE,01/01/1984 to present
"RIVER STAGE, FEET",1,(hourly),(RIV STG),SATELLITE,01/01/1984 to present
"WATER, TURBIDITY FNU, FNU",221,(hourly),(TURB WF),FROM 15-MINUTE DATA,12/03/2009 to present
"WATER, VELOCITY, FT/SEC",21,(hourly),(VLOCITY),SATELLITE,01/01/1984 to present
"TEMPERATURE, WATER, DEG F",25,(event),(TEMP W),DATA XCHG-USGS,12/03/2009 to 11/28/2018
"ELECTRICAL CONDUCTIVTY MICRO S, uS/cm",100,(event),(EL COND),DATA XCHG-USGS,12/03/2009 to 07/10/2018
