Station ID,MRZ,Elevation,8 ft,,
River Basin,EAST BAY,County,CONTRA COSTA,,
Hydrologic Area,SAN FRANCISCO BAY,Nearby City,MARTINEZ,,
Latitude,38.027637°,Longitude,-122.140488°,,
Operator,CA Dept of Water Resources/Div of Integrated Science and Eng,Maintenance,CA Dept of Water Resources/Div of Integrated Science and Eng,,
,,,,,
The following data types are available online. Select one of the links below to retrieve recent data.,,,,,
,,,,,
Sensor Description,Sensor Number,Duration,Plot,Data Collection,Data Available
"ELECTRICAL CONDUCTIVTY MICRO S, uS/cm",100,(daily),(EL COND),COMPUTED,05/17/2007 to present
"BATTERY VOLTAGE, VOLTS",14,(event),(BAT VOL),DATA XCHG-DWR ISE,08/21/2008 to present
"CHLOROPHYLL, ug/L",28,(event),(CHLORPH),DATA XCHG-DWR ISE,08/21/2008 to present
"ELECTRICAL COND BOTTOM MICRO S, uS/cm",102,(event),(EL CONDB),DATA XCHG-DWR ISE,08/21/2008 to present
"ELECTRICAL CONDUCTIVTY MICRO S, uS/cm",100,(event),(EL COND),DATA XCHG-DWR ISE,08/21/2008 to present
"RIVER STAGE, FEET",1,(event),(RIV STG),DATA XCHG-DWR ISE,08/21/2008 to present
"SOLAR RADIATION, W/M^2",26,(event),(SOLAR R),DATA XCHG-DWR ISE,08/21/2008 to present
"TEMPERATURE, AIR, DEG F",4,(event),(TEMP),DATA XCHG-DWR ISE,08/21/2008 to present
"TEMPERATURE, WATER, DEG F",25,(event),(TEMP W),DATA XCHG-DWR ISE,08/21/2008 to present
"WATER, DISSOLVED OXYGEN, MG/L",61,(event),(DIS OXY),DATA XCHG-DWR ISE,08/21/2008 to present
"WATER, PH VALUE, PH",62,(event),(PH VAL),DATA XCHG-DWR ISE,08/21/2008 to present
"WATER, TURBIDITY, NTU",27,(event),(TURB W),DATA XCHG-DWR ISE,08/21/2008 to present
"WIND, DIRECTION, DEG",10,(event),(WIND DR),DATA XCHG-DWR ISE,08/21/2008 to present
"WIND, SPEED, MPH",9,(event),(WIND SP),DATA XCHG-DWR ISE,08/21/2008 to present
"ELECTRICAL CONDUCTIVTY MICRO S, uS/cm",100,(hourly),(EL COND),FROM 15-MINUTE DATA,05/17/2007 to present
"RIVER STAGE, FEET",1,(hourly),(RIV STG),FROM 15-MINUTE DATA,07/01/1994 to present
"TEMPERATURE, WATER, DEG F",25,(hourly),(TEMP W),DATA XCHG-DWR ISE,07/01/1994 to present
"BATTERY VOLTAGE, VOLTS",14,(hourly),(BAT VOL),SATELLITE,01/01/1995 to 08/20/2008
"CHLOROPHYLL, ug/L",28,(hourly),(CHLORPH),SATELLITE,11/07/2007 to 08/20/2008
"ELECTRICAL COND BOTTOM MICRO S, uS/cm",102,(hourly),(EL CONDB),SATELLITE,05/17/2007 to 08/20/2008
"WATER, DISSOLVED OXYGEN, MG/L",61,(hourly),(DIS OXY),SATELLITE,06/21/2007 to 08/20/2008
"WATER, PH VALUE, PH",62,(hourly),(PH VAL),SATELLITE,11/07/2007 to 08/20/2008
"WATER, TURBIDITY, NTU",27,(hourly),(TURB W),SATELLITE,11/07/2007 to 08/20/2008
"ELECTRICAL COND BOTTOM MILLI S, mS/cm",92,(hourly),(EL CONDB),MICROWAVE,07/01/1994 to 05/16/2007
"ELECTRICAL CONDUCTIVTY MILLI S, mS/cm",5,(hourly),(EL CND),MICROWAVE,07/01/1994 to 05/16/2007
"ELECTRICAL CONDUCTIVTY MILLI S, mS/cm",5,(daily),(EL CND),COMPUTED,06/22/2006 to 05/05/2007
"RIVER STAGE NAVD88, FEET",141,(hourly),(RIVST88),COMPUTED,02/02/2006 to 09/30/2006
