Station ID,MSD,Elevation,31 ft,,
River Basin,SAN JOAQUIN RIVER,County,SAN JOAQUIN,,
Hydrologic Area,SAN JOAQUIN RIVER,Nearby City,MANTECA,,
Latitude,37.786000°,Longitude,-121.306000°,,
Operator,CA Dept of Water Resources/Div of Integrated Science and Eng,Maintenance,CA Dept of Water Resources/Div of Integrated Science and Eng,,
,,,,,
The following data types are available online. Select one of the links below to retrieve recent data.,,,,,
,,,,,
Sensor Description,Sensor Number,Duration,Plot,Data Collection,Data Available
"ELECTRICAL CONDUCTIVTY MICRO S, uS/cm",100,(daily),(EL COND),COMPUTED,01/01/2006 to present
"FLOW, MEAN DAILY, CFS",41,(daily),(M FLOW),COMPUTED,07/01/2008 to present
"TEMPERATURE, WATER, DEG F",25,(daily),(TEMP W),COMPUTED,10/10/2010 to present
"TEMPERATURE, WATER C, DEG C",146,(daily),(TEMPW C),COMPUTED,12/06/2011 to present
"BATTERY VOLTAGE, VOLTS",14,(event),(BAT VOL),DATA XCHG-DWR ISE,10/22/2008 to present
"CHLOROPHYLL, ug/L",28,(event),(CHLORPH),DATA XCHG-DWR ISE,10/22/2008 to present
"ELECTRICAL CONDUCTIVTY MICRO S, uS/cm",100,(event),(EL COND),DATA XCHG-DWR ISE,10/22/2008 to present
"FLOW, RIVER DISCHARGE, CFS",20,(event),(FLOW),DATA XCHG-DWR ISE,12/12/2005 to present
"RIVER STAGE, FEET",1,(event),(RIV STG),DATA XCHG-DWR ISE,10/01/1995 to present
"SOLAR RADIATION, W/M^2",26,(event),(SOLAR R),DATA XCHG-DWR ISE,05/01/2013 to present
"TEMPERATURE, AIR, DEG F",4,(event),(TEMP),DATA XCHG-DWR ISE,10/22/2008 to present
"TEMPERATURE, WATER, DEG F",25,(event),(TEMP W),DATA XCHG-DWR ISE,10/22/2008 to present
"WATER, DISSOLVED OXYGEN, MG/L",61,(event),(DIS OXY),DATA XCHG-DWR ISE,10/22/2008 to present
"WATER, PH VALUE, PH",62,(event),(PH VAL),DATA XCHG-DWR ISE,10/22/2008 to present
"WATER, TURBIDITY, NTU",27,(event),(TURB W),DATA XCHG-DWR ISE,10/22/2008 to present
"WATER, VELOCITY, FT/SEC",21,(event),(VLOCITY),DATA XCHG-DWR ISE,12/12/2005 to present
"WIND, DIRECTION, DEG",10,(event),(WIND DR),DATA XCHG-DWR ISE,05/01/2013 to present
"WIND, SPEED, MPH",9,(event),(WIND SP),DATA XCHG-DWR ISE,05/01/2013 to present
"BATTERY VOLTAGE, VOLTS",14,(hourly),(BAT VOL),DATA XCHG-DWR ISE,01/08/1999 to present
"CHLOROPHYLL, ug/L",28,(hourly),(CHLORPH),DATA XCHG-DWR ISE,04/26/2002 to present
"ELECTRICAL CONDUCTIVTY MICRO S, uS/cm",100,(hourly),(EL COND),DATA XCHG-DWR ISE,12/12/2005 to present
"TEMPERATURE, AIR, DEG F",4,(hourly),(TEMP),DATA XCHG-DWR ISE,01/23/2008 to present
"TEMPERATURE, WATER, DEG F",25,(hourly),(TEMP W),DATA XCHG-DWR ISE,04/26/2002 to present
"WATER, DISSOLVED OXYGEN, MG/L",61,(hourly),(DIS OXY),DATA XCHG-DWR ISE,04/26/2002 to present
"WATER, PH VALUE, PH",62,(hourly),(PH VAL),DATA XCHG-DWR ISE,12/06/2007 to present
"WATER, TURBIDITY, NTU",27,(hourly),(TURB W),DATA XCHG-DWR ISE,12/06/2007 to present
"FORECASTED STAGE, FEET",169,(hourly),(STAGE F),DATA XCHG-NWS,10/07/2009 to 10/07/2009
"FLOW, RIVER DISCHARGE, CFS",20,(hourly),(FLOW),SATELLITE,12/15/2005 to 12/19/2005
"RIVER STAGE, FEET",1,(hourly),(RIV STG),SATELLITE,01/08/1999 to 12/19/2005
"WATER, VELOCITY, FT/SEC",21,(hourly),(VLOCITY),SATELLITE,12/15/2005 to 12/19/2005
"ELECTRICAL CONDUCTIVTY MILLI S, mS/cm",5,(daily),(EL CND),COMPUTED,07/01/2004 to 12/11/2005
"ELECTRICAL CONDUCTIVTY MILLI S, mS/cm",5,(hourly),(EL CND),SATELLITE,04/26/2002 to 12/11/2005
