Station ID,OBI,Elevation,10 ft,,
River Basin,DELTA,County,SAN JOAQUIN,,
Hydrologic Area,SAN JOAQUIN RIVER,Nearby City,BRENTWOOD,,
Latitude,37.969368°,Longitude,-121.572220°,,
Operator,USGS/DWR,Maintenance,.None Specified,,
,,,,,
The following data types are available online. Select one of the links below to retrieve recent data.,,,,,
,,,,,
Sensor Description,Sensor Number,Duration,Plot,Data Collection,Data Available
"FLOW, MEAN DAILY, CFS",41,(daily),(M FLOW),DATA XCHG-USGS,01/04/2007 to present
"WATER, TURBIDITY FNU, FNU",221,(daily),(TURB WF),COMPUTED,10/01/2018 to present
"CHLOROPHYLL, ug/L",28,(event),(CHLORPH),DATA XCHG-USGS,05/11/2022 to present
"ELECTRICAL CONDUCTIVTY MICRO S, uS/cm",100,(event),(EL COND),DATA XCHG-USGS,02/27/2008 to present
"FLOW, RIVER DISCHARGE, CFS",20,(event),(FLOW),DATA XCHG-USGS,10/08/2003 to present
"RIVER STAGE, FEET",1,(event),(RIV STG),DATA XCHG-USGS,07/29/2005 to present
"TEMPERATURE, WATER, DEG F",25,(event),(TEMP W),DATA XCHG-USGS,02/27/2008 to present
"WATER, DISSOLVED OXYGEN, MG/L",61,(event),(DIS OXY),DATA XCHG-USGS,05/11/2022 to present
"WATER, PH VALUE, PH",62,(event),(PH VAL),DATA XCHG-USGS,05/11/2022 to present
"WATER, TURBIDITY FNU, FNU",221,(event),(TURB WF),DATA XCHG-USGS,01/09/2008 to present
"WATER, VELOCITY, FT/SEC",21,(event),(VLOCITY),DATA XCHG-USGS,06/01/2006 to present
"ELECTRICAL CONDUCTIVTY MICRO S, uS/cm",100,(hourly),(EL COND),FROM 15-MINUTE DATA,10/01/2016 to present
"FLOW, RIVER DISCHARGE, CFS",20,(hourly),(FLOW),FROM 15-MINUTE DATA,07/01/2007 to present
"RIVER STAGE, FEET",1,(hourly),(RIV STG),FROM 15-MINUTE DATA,07/01/2007 to present
"TEMPERATURE, WATER, DEG F",25,(hourly),(TEMP W),FROM 15-MINUTE DATA,10/01/2016 to present
"WATER, TURBIDITY FNU, FNU",221,(hourly),(TURB WF),FROM 15-MINUTE DATA,10/01/2016 to present
"WATER, VELOCITY, FT/SEC",21,(hourly),(VLOCITY),FROM 15-MINUTE DATA,10/01/2016 to present
