Station ID,PCT,Elevation,0 ft,,
River Basin,DELTA,County,CONTRA COSTA,,
Hydrologic Area,SACRAMENTO RIVER,Nearby City,WEST PITTSBURG,,
Latitude,38.056788°,Longitude,-121.999971°,,
Operator,US Bureau of Reclamation,Maintenance,US Bureau of Reclamation,,
,,,,,
The following data types are available online. Select one of the links below to retrieve recent data.,,,,,
,,,,,
Sensor Description,Sensor Number,Duration,Plot,Data Collection,Data Available
"ELECTRICAL CONDUCTIVTY MICRO S, uS/cm",100,(daily),(EL COND),COMPUTED,08/24/1999 to present
"ELECTRICAL COND BOTTOM MICRO S, uS/cm",102,(event),(EL CONDB),SATELLITE,02/09/1999 to present
"ELECTRICAL CONDUCTIVTY MICRO S, uS/cm",100,(event),(EL COND),SATELLITE,04/02/1999 to present
"BATTERY VOLTAGE, VOLTS",14,(hourly),(BAT VOL),SATELLITE,04/06/1999 to present
"ELECTRICAL COND BOTTOM MICRO S, uS/cm",102,(hourly),(EL CONDB),FROM 15-MINUTE DATA,04/06/1999 to present
"ELECTRICAL CONDUCTIVTY MICRO S, uS/cm",100,(hourly),(EL COND),FROM 15-MINUTE DATA,01/01/1997 to present
"TEMPERATURE, WATER, DEG F",25,(hourly),(TEMP W),SATELLITE,04/06/1999 to present
"TEMPERATURE, WATER, DEG F",25,(event),(TEMP W),SATELLITE,04/02/1999 to 03/26/2001
