Station ID,SJJ,Elevation,10 ft,,
River Basin,SAN JOAQUIN RIVER,County,CONTRA COSTA,,
Hydrologic Area,SAN JOAQUIN RIVER,Nearby City,OAKLEY,,
Latitude,38.052000°,Longitude,-121.689000°,,
Operator,US Geological Survey,Maintenance,.None Specified,,
,,,,,
The following data types are available online. Select one of the links below to retrieve recent data.,,,,,
,,,,,
Sensor Description,Sensor Number,Duration,Plot,Data Collection,Data Available
"ELECTRICAL CONDUCTIVTY MICRO S, uS/cm",100,(daily),(EL COND),COMPUTED,10/01/2013 to present
"MAX ELEC CONDUCTIVTY MICRO S, uS/cm",224,(daily),(EC MAX),COMPUTED,10/01/2013 to present
"MEDIAN E CONDUCTIVTY MICRO S, uS/cm",222,(daily),(EC MDN),COMPUTED,10/01/2013 to present
"MIN ELEC CONDUCTIVTY MICRO S, uS/cm",223,(daily),(EC MIN),COMPUTED,10/01/2013 to present
"TEMPERATURE, WATER, DEG F",25,(daily),(TEMP W),COMPUTED,10/01/2013 to present
"TEMPERATURE, WATER MAXIMUM, DEG F",227,(daily),(TMPW MAX),COMPUTED,10/01/2013 to present
"TEMPERATURE, WATER MEDIAN, DEG F",225,(daily),(TMPW MDN),COMPUTED,10/01/2013 to present
"TEMPERATURE, WATER MINIMUM, DEG F",226,(daily),(TMPW MIN),COMPUTED,10/01/2013 to present
"WATER, DISSOLVED OXYGEN, MG/L",61,(daily),(DIS OXY),COMPUTED,10/01/2013 to present
"WATER, DISSOLVED OXYGEN MAX, MG/L",230,(daily),(DO MAX),COMPUTED,10/01/2013 to present
"WATER, DISSOLVED OXYGEN MEDIAN, MG/L",228,(daily),(DO MDN),COMPUTED,10/01/2013 to present
"WATER, DISSOLVED OXYGEN MIN, MG/L",229,(daily),(DO MIN),COMPUTED,10/01/2013 to present
"ELECTRICAL CONDUCTIVTY MICRO S, uS/cm",100,(event),(EL COND),DATA XCHG-USGS,12/01/2009 to present
"FLOW, RIVER DISCHARGE, CFS",20,(event),(FLOW),DATA XCHG-USGS,10/08/2003 to present
"RIVER STAGE, FEET",1,(event),(RIV STG),DATA XCHG-USGS,05/01/2006 to present
"TEMPERATURE, WATER, DEG F",25,(event),(TEMP W),DATA XCHG-USGS,12/01/2009 to present
"WATER, DISSOLVED OXYGEN, MG/L",61,(event),(DIS OXY),DATA XCHG-USGS,05/30/2014 to present
"WATER, TURBIDITY FNU, FNU",221,(event),(TURB WF),DATA XCHG-USGS,12/01/2009 to present
"WATER, VELOCITY, FT/SEC",21,(event),(VLOCITY),DATA XCHG-USGS,05/01/2006 to present
