Station ID,SRH,Elevation,4 ft,,
River Basin,SACRAMENTO RIVER,County,SACRAMENTO,,
Hydrologic Area,SACRAMENTO RIVER,Nearby City,HOOD,,
Latitude,38.367981°,Longitude,-121.519958°,,
Operator,CA Dept of Water Resources/Div of Integrated Science and Eng,Maintenance,CA Dept of Water Resources/Div of Integrated Science and Eng,,
,,,,,
The following data types are available online. Select one of the links below to retrieve recent data.,,,,,
,,,,,
Sensor Description,Sensor Number,Duration,Plot,Data Collection,Data Available
"DISSLVD ORG. CARBON, OXIDATION, mg/L",179,(daily),(D ORGCO),DATA XCHG-DWR ISE,04/08/2011 to present
"ELECTRICAL CONDUCTIVTY MICRO S, uS/cm",100,(daily),(EL COND),COMPUTED,01/01/2004 to present
"TEMPERATURE, WATER, DEG F",25,(daily),(TEMP W),COMPUTED,01/01/2000 to present
"TOTAL ORG. CARBON, OXIDATION, mg/L",101,(daily),(T ORG C),COMPUTED,10/23/2003 to present
"BATTERY VOLTAGE, VOLTS",14,(event),(BAT VOL),DATA XCHG-DWR ISE,11/07/2008 to present
"CHLOROPHYLL, ug/L",28,(event),(CHLORPH),DATA XCHG-DWR ISE,11/07/2008 to present
"DISSLVD ORG. CARBON, OXIDATION, mg/L",179,(event),(D ORGCO),DATA XCHG-DWR ISE,04/08/2011 to present
"ELECTRICAL CONDUCTIVTY MICRO S, uS/cm",100,(event),(EL COND),DATA XCHG-DWR ISE,11/07/2008 to present
"FLUORESCNT DISS ORGANIC MATTER, QSU",266,(event),(FDOM),DATA XCHG-DWR ISE,10/18/2021 to present
"SOLAR RADIATION, W/M^2",26,(event),(SOLAR R),DATA XCHG-DWR ISE,06/30/2010 to present
"TEMPERATURE, AIR, DEG F",4,(event),(TEMP),DATA XCHG-DWR ISE,06/30/2010 to present
"TEMPERATURE, WATER, DEG F",25,(event),(TEMP W),DATA XCHG-DWR ISE,11/07/2008 to present
"TOTAL ORG. CARBON, OXIDATION, mg/L",101,(event),(T ORG C),DATA XCHG-DWR ISE,04/11/2002 to present
"WATER, DISSOLVED OXYGEN, MG/L",61,(event),(DIS OXY),DATA XCHG-DWR ISE,11/07/2008 to present
"WATER, PH VALUE, PH",62,(event),(PH VAL),DATA XCHG-DWR ISE,11/07/2008 to present
"WATER, TURBIDITY, NTU",27,(event),(TURB W),DATA XCHG-DWR ISE,11/07/2008 to present
"WIND, DIRECTION, DEG",10,(event),(WIND DR),DATA XCHG-DWR ISE,06/30/2010 to present
"WIND, SPEED, MPH",9,(event),(WIND SP),DATA XCHG-DWR ISE,06/30/2010 to present
"BATTERY VOLTAGE, VOLTS",14,(hourly),(BAT VOL),SATELLITE,12/22/1998 to present
"CHLOROPHYLL, ug/L",28,(hourly),(CHLORPH),SATELLITE,11/02/2007 to present
"ELECTRICAL CONDUCTIVTY MICRO S, uS/cm",100,(hourly),(EL COND),SATELLITE,10/17/2003 to present
"FLUORESCNT DISS ORGANIC MATTER, QSU",266,(hourly),(FDOM),FROM 15-MINUTE DATA,10/18/2021 to present
"SOLAR RADIATION, W/M^2",26,(hourly),(SOLAR R),DATA XCHG-DWR ISE,06/30/2010 to present
"TEMPERATURE, AIR, DEG F",4,(hourly),(TEMP),DATA XCHG-DWR ISE,06/30/2010 to present
"TEMPERATURE, WATER, DEG F",25,(hourly),(TEMP W),SATELLITE,12/22/1998 to present
"WATER, DISSOLVED OXYGEN, MG/L",61,(hourly),(DIS OXY),SATELLITE,12/22/1998 to present
"WATER, PH VALUE, PH",62,(hourly),(PH VAL),SATELLITE,12/22/1998 to present
"WATER, TURBIDITY, NTU",27,(hourly),(TURB W),SATELLITE,03/20/2007 to present
"WIND, DIRECTION, DEG",10,(hourly),(WIND DR),DATA XCHG-DWR ISE,06/30/2010 to present
"WIND, SPEED, MPH",9,(hourly),(WIND SP),DATA XCHG-DWR ISE,06/30/2010 to present
"DISSOLVED ORG. CARBON, COMBUST, mg/L",109,(daily),(D ORGCZ),COMPUTED,10/23/2003 to 05/09/2011
"TOTAL ORG. CARBON, COMBUSTION, mg/L",112,(daily),(T ORGCZ),COMPUTED,01/13/2004 to 05/09/2011
"DISSOLVED ORG. CARBON, COMBUST, mg/L",109,(event),(D ORGCZ),DATA XCHG-DWR ISE,04/11/2002 to 05/09/2011
"TOTAL ORG. CARBON, COMBUSTION, mg/L",112,(event),(T ORGCZ),DATA XCHG-DWR ISE,04/11/2002 to 05/09/2011
"ELECTRICAL CONDUCTIVTY MILLI S, mS/cm",5,(hourly),(EL CND),SATELLITE,12/22/1998 to 10/16/2003
"TOTAL ORG. CARBON, OXIDATION, mg/L",101,(hourly),(T ORG C),DATA XCHG-DWR ISE,02/21/1999 to 03/18/2002
