Station ID,TRN,Elevation,0 ft,,
River Basin,SAN JOAQUIN RIVER,County,SAN JOAQUIN,,
Hydrologic Area,SAN JOAQUIN RIVER,Nearby City,HOLT,,
Latitude,37.992800°,Longitude,-121.454200°,,
Operator,USGS/DWR,Maintenance,.None Specified,,
,,,,,
The following data types are available online. Select one of the links below to retrieve recent data.,,,,,
,,,,,
Sensor Description,Sensor Number,Duration,Plot,Data Collection,Data Available
"CHLOROPHYLL, ug/L",28,(event),(CHLORPH),DATA XCHG-USGS,12/02/2009 to present
"ELECTRICAL CONDUCTIVTY MICRO S, uS/cm",100,(event),(EL COND),DATA XCHG-USGS,12/02/2009 to present
"FLOW, RIVER DISCHARGE, CFS",20,(event),(FLOW),DATA XCHG-USGS,02/15/2006 to present
"RIVER STAGE, FEET",1,(event),(RIV STG),DATA XCHG-USGS,02/15/2006 to present
"TEMPERATURE, WATER, DEG F",25,(event),(TEMP W),DATA XCHG-USGS,02/15/2006 to present
"WATER, DISSOLVED OXYGEN, MG/L",61,(event),(DIS OXY),DATA XCHG-USGS,12/02/2009 to present
"WATER, PH VALUE, PH",62,(event),(PH VAL),DATA XCHG-USGS,12/02/2009 to present
"WATER, TURBIDITY FNU, FNU",221,(event),(TURB WF),DATA XCHG-USGS,12/02/2009 to present
"WATER, VELOCITY, FT/SEC",21,(event),(VLOCITY),DATA XCHG-USGS,02/15/2006 to present
"ELECTRICAL CONDUCTIVTY MILLI S, mS/cm",5,(event),(EL CND),DATA XCHG-USGS,02/15/2006 to 12/02/2009
