SampleDate,StationCode
1/7/1975,D11
1/7/1975,D15
1/7/1975,D16
1/7/1975,D19
1/7/1975,D22
1/7/1975,D24
1/7/1975,D26
1/7/1975,D4
1/7/1975,MD11
1/8/1975,D10
1/8/1975,D12
1/8/1975,D14A
1/8/1975,D2
1/8/1975,D6
1/8/1975,D7
1/8/1975,D8
1/21/1975,C10
1/21/1975,C6
1/21/1975,C7
1/21/1975,MD9
1/21/1975,P2
1/22/1975,C3
1/22/1975,C9
1/22/1975,MD1
1/22/1975,P12
2/3/1975,C10
2/3/1975,C6
2/3/1975,C7
2/3/1975,D28A
2/3/1975,MD10
2/3/1975,MD4
2/3/1975,MD5
2/3/1975,MD8
2/3/1975,MD9
2/3/1975,P2
2/3/1975,P8
2/4/1975,C3
2/4/1975,C9
2/4/1975,D27
2/4/1975,MD1
2/4/1975,MD11
2/4/1975,MD2
2/4/1975,MD3
2/4/1975,MD6
2/4/1975,MD7
2/4/1975,P12
2/5/1975,D11
2/5/1975,D15
2/5/1975,D16
2/5/1975,D19
2/5/1975,D22
2/5/1975,D24
2/5/1975,D26
2/5/1975,D4
2/5/1975,MD11
2/6/1975,D10
2/6/1975,D12
2/6/1975,D14A
2/6/1975,D2
2/6/1975,D6
2/6/1975,D7
2/6/1975,D8
2/6/1975,D9
3/18/1975,C10
3/18/1975,C3
3/18/1975,C7
3/18/1975,C9
3/18/1975,D28A
3/18/1975,MD10
3/18/1975,MD6
3/18/1975,MD7
3/18/1975,P12
3/18/1975,P2
3/18/1975,P8
3/19/1975,D11
3/19/1975,D15
3/19/1975,D19
3/19/1975,D22
3/19/1975,D24
3/19/1975,D26
3/19/1975,D4
3/20/1975,D10
3/20/1975,D12
3/20/1975,D14A
3/20/1975,D2
3/20/1975,D6
3/20/1975,D7
3/20/1975,D8
3/20/1975,D9
4/1/1975,C10
4/1/1975,C3
4/1/1975,C7
4/1/1975,C9
4/1/1975,D28A
4/1/1975,MD10
4/1/1975,MD6
4/1/1975,MD7
4/1/1975,P12
4/1/1975,P2
4/1/1975,P8
4/2/1975,D11
4/2/1975,D15
4/2/1975,D16
4/2/1975,D19
4/2/1975,D22
4/2/1975,D24
4/2/1975,D26
4/2/1975,D4
4/3/1975,D10
4/3/1975,D12
4/3/1975,D14A
4/3/1975,D2
4/3/1975,D6
4/3/1975,D7
4/3/1975,D8
4/3/1975,D9
4/16/1975,C9
4/16/1975,D28A
4/16/1975,MD6
4/16/1975,MD7
4/16/1975,P8
4/18/1975,C10
4/18/1975,C3
4/18/1975,C7
4/18/1975,MD10
4/18/1975,P12
4/18/1975,P2
4/22/1975,D11
4/22/1975,D15
4/22/1975,D16
4/22/1975,D19
4/22/1975,D22
4/22/1975,D24
4/22/1975,D26
4/22/1975,D4
4/23/1975,D10
4/23/1975,D12
4/23/1975,D14A
4/23/1975,D2
4/23/1975,D6
4/23/1975,D7
4/23/1975,D8
4/23/1975,D9
5/1/1975,C10
5/1/1975,C3
5/1/1975,C7
5/1/1975,C9
5/1/1975,D28A
5/1/1975,MD10
5/1/1975,MD6
5/1/1975,MD7
5/1/1975,P12
5/1/1975,P2
5/1/1975,P8
5/7/1975,D11
5/7/1975,D15
5/7/1975,D16
5/7/1975,D19
5/7/1975,D22
