StationID,CombinedID,CDEC ID,ShortName,Description,Latitude,Longitude
C3A,C3-C3A,SRH,Hood,Sacramento River @ Greens Landing,38.36771,-121.5205
C7A,C7-C7A,MSD,Mossdale Bridge,San Joaquin River @ Mossdale Bridge,37.786144,-121.306474
C10A,C10-C10A,SJR,Vernalis,San Joaquin River near Vernalis,37.67934,-121.2647
D6A,D6-D6A,MRZ,Martinez,Suisun Bay @ Bulls Head Point near Martinez,38.02762,-122.14052
D7A,D7-D7A,GZL,Grizzly Bay,Grizzly Bay @ Dolphin near Suisun Slough,38.124281,-122.037962
D8A,D8-D8A,RYC,Suisun Bay,Suisun Bay off Middle Point near Nichols,38.083961,-121.995641
D9A,D9-D9A,HON,Honker Bay,Sacramento River above Point Sacramento,38.072229,-121.93718
D10A,D10-D10A,MAL,Chipps Island,Sacramento River @ Chipps Island,38.042799,-121.92013
D11A,D11-D11A,SSI,Sherman Island,Sacramento River near Sherman Island,38.074153,-121.761764
D12A,D12-D12A,ANH,Antioch,San Joaquin River @ Antioch Ship Canal,38.017854,-121.802939
D16A,D16-D16A,TWI,Twitchell Island,San Joaquin River @ Twitchell Island,38.097455,-121.668718
D19A,D19-D19A,FRK,Franks Tract,Franks Tract Mid Tract,38.046499,-121.598063
D24A,D24-D24A-NZ068,RVB,Rio Vista,Sacramento River below Rio Vista Bridge,38.15778,-121.6847
D29,D29,PPT,Prisoner's Point,San Joaquin River @ Prisoners Point,38.056296,-121.549973
P8A,P8-P8A,RRI,Buckley Cove,San Joaquin River @ Buckley Cove,37.962726,-121.365603
