StationID,Latitude,Longitude,WaterQuality
C10A,37.67934,-121.2647,Continuous
C10A,37.67934,-121.2647,Discrete
C3A,38.36771,-121.5205,Continuous
C3A,38.36771,-121.5205,Discrete
D10,38.04631,-121.9183,Discrete
D12,38.02161,-121.8063,Discrete
D16,38.0969,-121.6691,Discrete
D19,38.04376,-121.6148,Discrete
D22,38.08453,-121.7391,Discrete
D26,38.07664,-121.5669,Discrete
D28A,37.97048,-121.573,Discrete
D4,38.06248,-121.8205,Discrete
D41 ,38.03022,-122.3729,Discrete
D41A,38.08472,-122.3907,Discrete
D6,38.04436,-122.1177,Discrete
D7,38.11714,-122.0397,Discrete
D8,38.05992,-121.99,Discrete
MD10A,38.04226,-121.4199,Discrete
NZ002,38.06529,-122.2152,Discrete
NZ004,38.03576,-122.1616,Discrete
NZ032,38.16991,-122.0211,Discrete
NZ325,38.05798,-122.2919,Discrete
NZS42,38.18045,-122.0476,Discrete
P8,37.97817,-121.3823,Discrete
NZ068,38.14272,-121.6895,Discrete
C9,37.83095,-121.554,Discrete
MSD,37.786144,-121.306474,Continuous
MRZ,38.02762,-122.14052,Continuous
GZL,38.124281,-122.037962,Continuous
RYC,38.083961,-121.995641,Continuous
HON,38.072229,-121.93718,Continuous
MAL,38.042799,-121.92013,Continuous
SSI,38.074153,-121.761764,Continuous
ANH,38.017854,-121.802939,Continuous
TWI,38.097455,-121.668718,Continuous
FRK,38.046499,-121.598063,Continuous
PPT,38.056296,-121.549973,Continuous
RRI,37.962726,-121.365603,Continuous
