Date,Time,Site name,Species Code,Fork length,PIT code,PIT last 4 digits
9/14/2017,8:10,FI1 West,(?) SUNFISH,59,no tag,
9/14/2017,8:10,FI1 West,AMS,72,no tag,
9/14/2017,8:10,FI1 West,BGS,78,no tag,
9/14/2017,8:10,FI1 West,BGS,127,6586080,
9/14/2017,8:10,FI1 West,BGS,133,6586150,
9/14/2017,8:10,FI1 West,BGS,162,6586113,
9/14/2017,8:10,FI1 West,BGS,130,6762806,
9/14/2017,8:10,FI1 West,BGS,101,6762857,
9/14/2017,8:10,FI1 West,BGS,85,6762865,
9/14/2017,8:10,FI1 West,BGS,101,6586177,
9/14/2017,8:10,FI1 West,BGS,91,6586258,
9/14/2017,8:10,FI1 West,BGS,87,6586218,
9/14/2017,8:10,FI1 West,BGS,96,6586194,
9/14/2017,14:05,FI2 East,BGS,131,6586210,
9/14/2017,14:05,FI2 East,BGS,125,6586198,
9/14/2017,14:05,FI2 East,BGS,127,6586170,
9/14/2017,14:05,FI2 East,BGS,100,6586230,
9/14/2017,14:05,FI2 East,BGS,116,6586200,
9/14/2017,14:05,FI2 East,BGS,93,6586192,
9/14/2017,14:05,FI2 East,BGS,127,6586180,
9/14/2017,14:05,FI2 East,BGS,105,6586250,
9/14/2017,14:05,FI2 East,BGS,149,6586229,
9/14/2017,14:05,FI2 East,BGS,122,6586181,
9/14/2017,14:05,FI2 East,BGS,95,6586226,
9/14/2017,14:05,FI2 East,BGS,129,6762940,
9/14/2017,14:05,FI2 East,BGS,190,6762986,
9/14/2017,14:05,FI2 East,BGS,87,6762906,
9/14/2017,14:05,FI2 East,BGS,101,6762977,
9/14/2017,14:05,FI2 East,BGS,90,6762950,
9/14/2017,14:05,FI2 East,BGS,110,6762912,
9/14/2017,14:05,FI2 East,BGS,102,6762988,
9/14/2017,14:05,FI2 East,BGS,122,6762972,
9/14/2017,14:05,FI2 East,BGS,82,6762961,
9/14/2017,14:05,FI2 East,BGS,72,no tag,
9/14/2017,14:05,FI2 East,BGS,77,no tag,
9/14/2017,14:05,FI2 East,BGS,50,no tag,
9/14/2017,14:05,FI2 East,BGS,44,no tag,
9/14/2017,14:05,FI2 East,BGS,79,no tag,
9/14/2017,14:05,FI2 East,BGS,70,no tag,
9/14/2017,14:05,FI2 East,BGS,70,no tag,
9/14/2017,14:05,FI2 East,BGS,90,no tag,
9/14/2017,14:05,FI2 East,BGS,92,6762926,
9/14/2017,14:05,FI2 East,BGS,96,6762927,
9/14/2017,14:05,FI2 East,BGS,118,6762909,
9/14/2017,14:05,FI2 East,BGS,107,6762916,
9/14/2017,14:05,FI2 East,BGS,92,6762983,
9/14/2017,14:05,FI2 East,BGS,121,6762962,
9/14/2017,14:05,FI2 East,BGS,88,6763000,
9/14/2017,14:05,FI2 East,BGS,84,6762937,
9/13/2017,9:23,LH1 West,BGS,75,no tag,
9/13/2017,9:23,LH1 West,BGS,110,6585871,
9/13/2017,13:48,LH2 North,BGS,22,no tag,
9/13/2017,13:48,LH2 North,BGS,69,no tag,
