SpeciesCode,CommonName,SciName,Length_cm,Weight_g,Gender,LengthType,n,Country,Locality,Ref
HCH,Sacramento Hitch,Lavinia exilicauda exilicauda,21,140,unsexed,FL,1,USA,Mokelumne River,Jeffres et al. 2006
HCH,Sacramento Hitch,Lavinia exilicauda exilicauda,20.5,145,unsexed,FL,1,USA,Mokelumne River,Jeffres et al. 2006
HCH,Sacramento Hitch,Lavinia exilicauda exilicauda,22.3,160,unsexed,FL,1,USA,Mokelumne River,Jeffres et al. 2006
HCH,Sacramento Hitch,Lavinia exilicauda exilicauda,16.8,80,unsexed,FL,1,USA,Mokelumne River,Jeffres et al. 2006
HCH,Sacramento Hitch,Lavinia exilicauda exilicauda,17.9,85,unsexed,FL,1,USA,Mokelumne River,Jeffres et al. 2006
HCH,Sacramento Hitch,Lavinia exilicauda exilicauda,16.8,75,unsexed,FL,1,USA,Mokelumne River,Jeffres et al. 2006
SASU,Sacramento Sucker,Catostomus occidentalis occidentalis,49.5,1700,unsexed,FL,1,USA,Mokelumne River,Jeffres et al. 2006
SASU,Sacramento Sucker,Catostomus occidentalis occidentalis,47.5,1450,unsexed,FL,1,USA,Mokelumne River,Jeffres et al. 2006
SASU,Sacramento Sucker,Catostomus occidentalis occidentalis,27.8,300,unsexed,FL,1,USA,Mokelumne River,Jeffres et al. 2006
SASU,Sacramento Sucker,Catostomus occidentalis occidentalis,37.1,750,unsexed,FL,1,USA,Mokelumne River,Jeffres et al. 2006
SASU,Sacramento Sucker,Catostomus occidentalis occidentalis,41,800,unsexed,FL,1,USA,Mokelumne River,Jeffres et al. 2006
SASU,Sacramento Sucker,Catostomus occidentalis occidentalis,45.5,1000,unsexed,FL,1,USA,Mokelumne River,Jeffres et al. 2006
