Country,lat,lon
Australia,-25.2744,133.7751
Belgium,50.5039,4.4699
Brazil,-14.235,-51.9253
Canada,56.1304,-106.3468
China,35.8617,104.1954
Croatia,45.1,15.2
Estonia,58.5953,25.0136
Finland,61.9241,25.7482
France,46.2276,2.2137
Greece,39.0742,21.8243
Iran,32.4279,53.688
Iraq,33.2232,43.6793
Italy,41.8719,12.5674
Japan,36.764924,138.972699
Kenya,-0.0236,37.9062
Laos,19.8563,102.4955
Mexico,23.6345,-102.5528
Montenegro,42.7087,19.3744
New Caledonia,20.9043,-165.918
Norway,60.472,8.4689
Philippines,12.8797,121.774
Poland,51.9194,19.1451
Portugal,39.3999,-8.2245
Russia,61.524,105.3188
South Africa,-30.5595,22.9375
South Korea,35.9078,127.7669
Spain,40.4637,-3.7492
Turkey,38.9637,35.2433
UK,55.3781,-3.436
Ukraine,48.3794,31.1656
unknown,,
USA,37.0902,-95.7129
