"project","station","date","time","net_size","high_algae","high_detritus","high_silt","no_micro_tally","no_meso_tally","samp_num","tow","id_by","scope","mag","id_date","num_of_jars","num_of_vials","category","taxon","count","subsample","v1_ml","sub1_ml","v2_ml","sub2_ml","vsed_ml"
"Yolo Bypass-DWR","STTD",2021-07-06,"09:03","150um",FALSE,TRUE,TRUE,FALSE,TRUE,43,NA,"BSA","wilovert","100x",2021-10-13,"1",NA,"MICROZOOPLANKTON & NAUPLII","Asplanchna",0,0,54,1.2,64,1.5,3
"Yolo Bypass-DWR","STTD",2021-07-06,"09:03","150um",FALSE,TRUE,TRUE,FALSE,TRUE,43,NA,"BSA","wilovert","100x",2021-10-13,"1",NA,"MICROZOOPLANKTON & NAUPLII","Bdelloid",0,0,54,1.2,64,1.5,3
"Yolo Bypass-DWR","STTD",2021-07-06,"09:03","150um",FALSE,TRUE,TRUE,FALSE,TRUE,43,NA,"BSA","wilovert","100x",2021-10-13,"1",NA,"MICROZOOPLANKTON & NAUPLII","Brachionus",0,0,54,1.2,64,1.5,3
"Yolo Bypass-DWR","STTD",2021-07-06,"09:03","150um",FALSE,TRUE,TRUE,FALSE,TRUE,43,NA,"BSA","wilovert","100x",2021-10-13,"1",NA,"MICROZOOPLANKTON & NAUPLII","Cephalodella",0,0,54,1.2,64,1.5,3
"Yolo Bypass-DWR","STTD",2021-07-06,"09:03","150um",FALSE,TRUE,TRUE,FALSE,TRUE,43,NA,"BSA","wilovert","100x",2021-10-13,"1",NA,"MICROZOOPLANKTON & NAUPLII","Conochilus",0,0,54,1.2,64,1.5,3
"Yolo Bypass-DWR","STTD",2021-07-06,"09:03","150um",FALSE,TRUE,TRUE,FALSE,TRUE,43,NA,"BSA","wilovert","100x",2021-10-13,"1",NA,"MICROZOOPLANKTON & NAUPLII","Euchlanis",0,0,54,1.2,64,1.5,3
"Yolo Bypass-DWR","STTD",2021-07-06,"09:03","150um",FALSE,TRUE,TRUE,FALSE,TRUE,43,NA,"BSA","wilovert","100x",2021-10-13,"1",NA,"MICROZOOPLANKTON & NAUPLII","Keratella",5,0,54,1.2,64,1.5,3
"Yolo Bypass-DWR","STTD",2021-07-06,"09:03","150um",FALSE,TRUE,TRUE,FALSE,TRUE,43,NA,"BSA","wilovert","100x",2021-10-13,"1",NA,"MICROZOOPLANKTON & NAUPLII","Lecane",0,0,54,1.2,64,1.5,3
"Yolo Bypass-DWR","STTD",2021-07-06,"09:03","150um",FALSE,TRUE,TRUE,FALSE,TRUE,43,NA,"BSA","wilovert","100x",2021-10-13,"1",NA,"MICROZOOPLANKTON & NAUPLII","Lepadella",0,0,54,1.2,64,1.5,3
"Yolo Bypass-DWR","STTD",2021-07-06,"09:03","150um",FALSE,TRUE,TRUE,FALSE,TRUE,43,NA,"BSA","wilovert","100x",2021-10-13,"1",NA,"MICROZOOPLANKTON & NAUPLII","Monostyla",0,0,54,1.2,64,1.5,3
"Yolo Bypass-DWR","STTD",2021-07-06,"09:03","150um",FALSE,TRUE,TRUE,FALSE,TRUE,43,NA,"BSA","wilovert","100x",2021-10-13,"1",NA,"MICROZOOPLANKTON & NAUPLII","Platyias",0,0,54,1.2,64,1.5,3
"Yolo Bypass-DWR","STTD",2021-07-06,"09:03","150um",FALSE,TRUE,TRUE,FALSE,TRUE,43,NA,"BSA","wilovert","100x",2021-10-13,"1",NA,"MICROZOOPLANKTON & NAUPLII","Polyarthra",0,0,54,1.2,64,1.5,3
"Yolo Bypass-DWR","STTD",2021-07-06,"09:03","150um",FALSE,TRUE,TRUE,FALSE,TRUE,43,NA,"BSA","wilovert","100x",2021-10-13,"1",NA,"MICROZOOPLANKTON & NAUPLII","Synchaeta",0,0,54,1.2,64,1.5,3
"Yolo Bypass-DWR","STTD",2021-07-06,"09:03","150um",FALSE,TRUE,TRUE,FALSE,TRUE,43,NA,"BSA","wilovert","100x",2021-10-13,"1",NA,"MICROZOOPLANKTON & NAUPLII","Testudinella",0,0,54,1.2,64,1.5,3
