StationID,Latitude,Longitude,Component,Agency
C10A,37.67934,-121.2647,"Discrete (WQ, P, Z)",DWR
C3A,38.36771,-121.5205,"Discrete (WQ, P, Z)",DWR
C9,37.83095,-121.554,"Discrete (WQ, P, Z)",DWR
D10,38.048364,-121.918587,"Discrete (WQ, P, Z)",DWR
D12,38.021427,-121.806965,"Discrete (WQ, P, Z)",DWR
D16,38.087988,-121.681134,"Discrete (WQ, P, Z)",DWR
D19,38.047662,-121.622335,"Discrete (WQ, P, Z)",DWR
D22,38.08709,-121.747399,"Discrete (WQ, P, Z)",DWR
D26,38.083861,-121.573184,"Discrete (WQ, P, Z)",DWR
D28A,37.969697,-121.573145,"Discrete (WQ, P, Z)",DWR
D4,38.065164,-121.83486,"Discrete (WQ, P, Z)",DWR
D41 ,38.030135,-122.372771,"Discrete (WQ, P, Z)",DWR
D41A,38.083333,-122.396333,"Discrete (WQ, P, Z)",DWR
D6,38.046308,-122.121838,"Discrete (WQ, P, Z)",DWR
D7,38.116854,-122.039512,"Discrete (WQ, P, Z)",DWR
D8,38.059971,-121.992062,"Discrete (WQ, P, Z)",DWR
MD10A,38.04208,-121.422196,"Discrete (WQ, P, Z)",DWR
NZ002,38.064944,-122.214871,"Discrete (WQ, P, Z)",DWR
NZ004,38.030975,-122.159631,"Discrete (WQ, P, Z)",DWR
NZ032,38.171063,-122.020467,"Discrete (WQ, P, Z)",DWR
NZ325,38.057409,-122.289997,"Discrete (WQ, P, Z)",DWR
NZS42,38.1808,-122.049008,"Discrete (WQ, P, Z)",DWR
P8,37.978248,-121.38232,"Discrete (WQ, P, Z)",DWR
NZ068,38.142716,-121.68948,"Discrete (WQ, P, Z)",DWR
D41-C,38.016055,-122.364717,Benthic,DWR
D41A-C,38.084717,-122.390667,Benthic,DWR
C9-L,37.827172,-121.55229,Benthic,DWR
D7-C,38.117129,-122.039554,Benthic,DWR
D4-L,38.060844,-121.82408,Benthic,DWR
D16-L,38.093031,-121.669744,Benthic,DWR
D24-L,38.154719,-121.68145,Benthic,DWR
D6-R,38.057703,-122.114959,Benthic,DWR
P8-R,37.977852,-121.379993,Benthic,DWR
D28A-L,37.970165,-121.574119,Benthic,DWR
C2,38.073981,-121.850123,Continuous WQ,USBR
C3A,38.367981,-121.519958,Continuous WQ,DWR
C4,38.103301,-121.591315,Continuous WQ,USBR
C5,37.99495,-121.702809,Continuous WQ,USBR
C6,37.865,-121.3231,Continuous WQ,DWR
C7A,37.786,-121.306,Continuous WQ,DWR
C8,37.822101,-121.37499,Continuous WQ,USBR
C9,37.8316,-121.554,Continuous WQ,DWR
C10A,37.67929,-121.26511,Continuous WQ,DWR
C13,38.1061,-121.5711,Continuous WQ,DWR
C14,38.056788,-121.999971,Continuous WQ,USBR
C19,38.2918,-121.742,Continuous WQ,USBR
D6A,38.027637,-122.140488,Continuous WQ,DWR
D7A,38.12425,-122.038117,Continuous WQ,DWR
D8A,38.083971,-121.995878,Continuous WQ,DWR
D9A,38.0724,-121.9392,Continuous WQ,DWR
D10A,38.042805,-121.92009,Continuous WQ,DWR
D11A,38.074097,-121.761736,Continuous WQ,DWR
D12A,38.01783,-121.802963,Continuous WQ,DWR
D15,38.052,-121.689,Continuous WQ,USGS
D16A,38.0969,-121.6691,Continuous WQ,DWR
D19A,38.046417,-121.5981,Continuous WQ,DWR
D22,38.084272,-121.738924,Continuous WQ,USBR
D24A,38.159737,-121.686355,Continuous WQ,DWR
D28A,37.969368,-121.57222,Continuous WQ,DWR
D29,38.066,-121.562,Continuous WQ,DWR
DMC1,37.781567,-121.590239,Continuous WQ,USBR
P8A,37.963,-121.365,Continuous WQ,DWR
P12,37.80481,-121.449562,Continuous WQ,DWR
S21,38.184378,-122.083202,Continuous WQ,DWR
S35,38.119175,-122.095812,Continuous WQ,DWR
S42,38.180287,-122.046849,Continuous WQ,DWR
S49,38.186697,-121.970582,Continuous WQ,DWR
S64,38.122006,-121.888179,Continuous WQ,DWR
S97,38.156805,-122.113875,Continuous WQ,DWR
SLBAR3,38.2759,-121.7965,Continuous WQ,DWR
TRN,37.9928,-121.4542,Continuous WQ,DWR
FPT,38.456112,-121.5003,Continuous WQ,USGS
MSL,38.093288,-121.887196,Continuous WQ,DWR
