Station,Month,Year,Diameter (um),Inc Weight %
C3A,3,2018,2000,0
C3A,3,2018,1821.9,0
C3A,3,2018,1659.6,0
C3A,3,2018,1511.8,0
C3A,3,2018,1377.2,0
C3A,3,2018,1254.6,0
C3A,3,2018,1142.8,0
C3A,3,2018,1041,0
C3A,3,2018,948.34,0
C3A,3,2018,863.88,0
C3A,3,2018,786.95,0
C3A,3,2018,716.87,0
C3A,3,2018,653.02,0
C3A,3,2018,594.87,0
C3A,3,2018,541.89,0
C3A,3,2018,493.63,0
C3A,3,2018,449.67,0
C3A,3,2018,409.63,0
C3A,3,2018,373.15,0
C3A,3,2018,339.92,0
C3A,3,2018,309.64,0
C3A,3,2018,282.07,0
C3A,3,2018,256.95,0
C3A,3,2018,234.07,0
C3A,3,2018,213.22,0
C3A,3,2018,194.23,0
C3A,3,2018,176.93,0
C3A,3,2018,161.18,0
C3A,3,2018,146.82,0
C3A,3,2018,133.75,0
C3A,3,2018,121.84,0
C3A,3,2018,110.99,0
C3A,3,2018,101.1,0
C3A,3,2018,92.099,0
C3A,3,2018,83.897,0
C3A,3,2018,76.425,0.00332929
C3A,3,2018,69.619,0.0416309
C3A,3,2018,63.419,0.209718
C3A,3,2018,57.771,0.517798
C3A,3,2018,52.626,0.870106
C3A,3,2018,47.94,1.12567
C3A,3,2018,43.67,1.28501
C3A,3,2018,39.781,1.37518
C3A,3,2018,36.239,1.44024
C3A,3,2018,33.011,1.51561
C3A,3,2018,30.071,1.61129
C3A,3,2018,27.393,1.71123
C3A,3,2018,24.954,1.79909
C3A,3,2018,23.843,1.83624
C3A,3,2018,22.732,1.87339
C3A,3,2018,20.707,1.95068
C3A,3,2018,18.863,2.05825
C3A,3,2018,17.183,2.21059
C3A,3,2018,15.653,2.40202
C3A,3,2018,14.259,2.60956
C3A,3,2018,12.989,2.80573
C3A,3,2018,11.832,2.97465
C3A,3,2018,10.779,3.11259
C3A,3,2018,10,3.201790083
C3A,3,2018,9.8187,3.22255
C3A,3,2018,8.9443,3.30622
C3A,3,2018,8.1477,3.36161
C3A,3,2018,7.4221,3.38773
C3A,3,2018,6.7611,3.38607
C3A,3,2018,6.159,3.36017
C3A,3,2018,5.6105,3.31207
C3A,3,2018,5.1109,3.2412
C3A,3,2018,4.6557,3.14676
C3A,3,2018,4.2411,3.02938
C3A,3,2018,3.8634,2.89257
C3A,3,2018,3.5193,2.73965
C3A,3,2018,3.2059,2.57373
C3A,3,2018,2.9204,2.3974
C3A,3,2018,2.6603,2.21543
C3A,3,2018,2.5,2.092298759
C3A,3,2018,2.4234,2.03346
C3A,3,2018,2.2076,1.85689
C3A,3,2018,2.011,1.68943
C3A,3,2018,1.8319,1.53234
C3A,3,2018,1.6688,1.38862
C3A,3,2018,1.5201,1.26024
C3A,3,2018,1.3848,1.1494
C3A,3,2018,1.2614,1.05148
C3A,3,2018,1.1491,0.964407
C3A,3,2018,1.0468,0.885588
C3A,3,2018,0.95355,0.816284
C3A,3,2018,0.86863,0.752525
C3A,3,2018,0.79128,0.689223
C3A,3,2018,0.72081,0.621963
C3A,3,2018,0.65662,0.550211
C3A,3,2018,0.59814,0.480352
C3A,3,2018,0.54487,0.406805
