"site","visit_date","visit_time","lname","sonde","sonde_loc","analyte_name","unit_name","rating","dirty_p","dirty_v","clean_p","clean_v","f_error","f_error_pct","post_lname","post_date","post_time","std1","rdg1","std2","rdg2","c_error1","c_error_pct1","c_error2","c_error_pct2","c_error_avg","c_error_pct_avg","total_error","total_error_pct","sonde_verif"
"ANH","2023-01-26","13:14","NELSON","RTM-84","main","Water Temperature","C","Good","9.84","9.94","10.34","10.23",0.21,"2.134","NELSON",NA,"12:36","20.73","20.7",NA,NA,0.03,"0.145",NA,NA,NA,NA,0.24,"2.279","RTM-98"
"ANH","2023-01-26","13:14","NELSON","RTM-84","main","SpC","uS/cm","Excellent","247","248","248","248",1,"0.405","NELSON",NA,"12:36","6668","6669",NA,NA,-1,"-0.015",NA,NA,NA,NA,2,"0.42","RTM-98"
"ANH","2023-01-26","13:14","NELSON","RTM-84","main","Dissolved Oxygen","mg/L","Excellent","9.59","9.57","9.68","9.56",0.1,"1.043","NELSON",NA,"12:36","9.35","9.35",NA,NA,0,"0",NA,NA,NA,NA,0.1,"1.043","RTM-98"
"ANH","2023-01-26","13:14","NELSON","RTM-84","main","pH","pH Units","Excellent","7.41","7.34","7.44","7.33",0.04,"0.54","NELSON",NA,"12:36","7.02","7.06","10.05","10.21",-0.04,"-0.57",-0.16,"-3.184","0.1","-1.877",0.14,"2.417","RTM-98"
"ANH","2023-01-26","13:14","NELSON","RTM-84","main","Turbidity","FNU","Fair","39.77","39.79","50.09","44.61",5.5,"13.83","NELSON",NA,"12:36","0","0.67","124","124.49",-0.67,"-1",-0.49,"-0.79","0.58","-0.895",6.08,"14.725","RTM-98"
"ANH","2023-03-02","12:03","NELSON","RTM-60","main","Water Temperature","C","Excellent","9.42","9.39","9.54","9.49",0.02,"0.212","SIGURDSON",NA,NA,"21.2","21.22",NA,NA,-0.02,"-0.094",NA,NA,NA,NA,0.04,"0.306","RTM-70"
"ANH","2023-03-02","12:03","NELSON","RTM-60","main","SpC","uS/cm","Excellent","323","323","324","324",0,"0","SIGURDSON",NA,NA,"1413","1414",NA,NA,-1,"-0.071",NA,NA,NA,NA,1,"0.071","RTM-70"
"ANH","2023-03-02","12:03","NELSON","RTM-60","main","Dissolved Oxygen","mg/L","Excellent","11.17","11.09","11.15","11.08",-0.01,"-0.09","SIGURDSON",NA,NA,"9.35","9.36",NA,NA,-0.01,"-0.107",NA,NA,NA,NA,0.02,"0.197","RTM-70"
"ANH","2023-03-02","12:03","NELSON","RTM-60","main","pH","pH Units","Excellent","7.81","7.81","7.92","7.83",0.09,"1.152","SIGURDSON",NA,NA,"7.02","7.05","10.04","10.05",-0.03,"-0.427",-0.01,"-0.199","0.02","-0.313",0.11,"1.465","RTM-70"
"ANH","2023-03-02","12:03","NELSON","RTM-60","main","Turbidity","FNU","Poor","20.77","24.46","27.38","28.08",2.99,"14.396","SIGURDSON",NA,NA,"0","-0.06","124","121.44",0.06,"-1",2.56,"4.129","1.31","1.5645",4.3,"15.9605","RTM-70"
"ANH","2023-04-27","11:38","NELSON","RTM-60","main","Water Temperature","C","Excellent","18.02","18.09","18.07","18.11",0.03,"0.166","SIGURDSON",NA,"09:13","21.51","21.49",NA,NA,0.02,"0.093",NA,NA,NA,NA,0.05,"0.259","RTM-98"
"ANH","2023-04-27","11:38","NELSON","RTM-60","main","SpC","uS/cm","Excellent","152","152","157","157",0,"0","SIGURDSON",NA,"09:13","1413","1414",NA,NA,-1,"-0.071",NA,NA,NA,NA,1,"0.071","RTM-98"
"ANH","2023-04-27","11:38","NELSON","RTM-60","main","Dissolved Oxygen","mg/L","Excellent","9.2","9.25","9.18","9.25",-0.02,"-0.217","SIGURDSON",NA,"09:13","9.17","9.01",NA,NA,0.16,"1.745",NA,NA,NA,NA,0.18,"1.962","RTM-98"
"ANH","2023-04-27","11:38","NELSON","RTM-60","main","pH","pH Units","Good","7.47","7.57","7.69","7.53",0.26,"3.481","SIGURDSON",NA,"09:13","7.02","7.11","10.04","10.03",-0.09,"-1.282",0.01,"0.199","0.05","-0.5415",0.31,"4.0225","RTM-98"
"ANH","2023-04-27","11:38","NELSON","RTM-60","main","Turbidity","FNU","Poor","21.72","21.77","31.89","37.7",-5.76,"-26.519","SIGURDSON",NA,"09:13","0","0.02","124","125.95",-0.02,"-1",-1.95,"-3.145","0.985","-2.0725",6.745,"28.5915","RTM-98"
"ANH","2023-05-04","11:05","ALDRICH","RTM-73","main","Water Temperature","C","Excellent","16.82","16.79","16.83","16.78",0.02,"0.119","SIGURDSON",NA,"15:22","20.59","20.64",NA,NA,-0.05,"-0.243",NA,NA,NA,NA,0.07,"0.362","RTM-98"
"ANH","2023-05-04","11:05","ALDRICH","RTM-73","main","SpC","uS/cm","Excellent","147","148","148","148",1,"0.68","SIGURDSON",NA,"15:22","1413","1419",NA,NA,-6,"-0.425",NA,NA,NA,NA,7,"1.105","RTM-98"
"ANH","2023-05-04","11:05","ALDRICH","RTM-73","main","Dissolved Oxygen","mg/L","Excellent","8.69","8.62","8.67","8.65",-0.05,"-0.575","SIGURDSON",NA,"15:22","9.27","9.37",NA,NA,-0.1,"-1.079",NA,NA,NA,NA,0.15,"1.654","RTM-98"
"ANH","2023-05-04","11:05","ALDRICH","RTM-73","main","pH","pH Units","MAL","13.3","7.33","13.51","7.25",0.29,"2.18","SIGURDSON",NA,"15:22","7.02","13.09","10.04","14.14",-6.07,"-86.467",-4.1,"-81.673","5.085","-84.07",5.375,"86.25","RTM-98"
"ANH","2023-05-04","11:05","ALDRICH","RTM-73","main","Turbidity","FNU","Good","7.45","8.34","8.69","10.15",-0.57,"-7.651","SIGURDSON",NA,"15:22","0","0.02","124","125.52",-0.02,"-1",-1.52,"-2.452","0.77","-1.726",1.34,"9.377","RTM-98"
"ANH","2023-05-24","12:07","NELSON","RTM-69","main","Water Temperature","C","Excellent","20.6","20.53","20.56","20.53",-0.04,"-0.194","SIGURDSON",NA,"07:55","21.72","21.71",NA,NA,0.01,"0.046",NA,NA,NA,NA,0.05,"0.24","RTM-70"
"ANH","2023-05-24","12:07","NELSON","RTM-69","main","SpC","uS/cm","Excellent","123","123","123","121",2,"1.626","SIGURDSON",NA,"07:55","1413","1413",NA,NA,0,"0",NA,NA,NA,NA,2,"1.626","RTM-70"
"ANH","2023-05-24","12:07","NELSON","RTM-69","main","Dissolved Oxygen","mg/L","Excellent","8.15","8.22","8.18","8.19",0.06,"0.736","SIGURDSON",NA,"07:55","9.04","9.04",NA,NA,0,"0",NA,NA,NA,NA,0.06,"0.736","RTM-70"
"ANH","2023-05-24","12:07","NELSON","RTM-69","main","pH","pH Units","Excellent","7.45","7.39","7.46","7.44",-0.04,"-0.537","SIGURDSON",NA,"07:55","7.02","7.04","10.04","10.04",-0.02,"-0.285",0,"0","0.01","-0.1425",0.05,"0.6795","RTM-70"
"ANH","2023-05-24","12:07","NELSON","RTM-69","main","Turbidity","FNU","Poor","21.2","17.29","19.89","19.9",-3.92,"-18.491","SIGURDSON",NA,"07:55","0","0","124","124.41",0,"0",-0.41,"-0.661","0.205","-0.3305",4.125,"18.8215","RTM-70"
"ANH","2023-06-21","10:20","NEUMAYR","RTM-84","main","Water Temperature","C","Excellent","20.13","20.1","20.15","20.16",-0.04,"-0.199","NELSON","2023-06-22","10:55","21.64","21.67",NA,NA,-0.03,"-0.139",NA,NA,NA,NA,0.07,"0.338","RTM-98"
"ANH","2023-06-21","10:20","NEUMAYR","RTM-84","main","SpC","uS/cm","Excellent","113","112","114","113",0,"0","NELSON","2023-06-22","10:55","1413","1409",NA,NA,4,"0.283",NA,NA,NA,NA,4,"0.283","RTM-98"
"ANH","2023-06-21","10:20","NEUMAYR","RTM-84","main","Dissolved Oxygen","mg/L","Excellent","8.26","8.39","8.16","8.28",0.01,"0.121","NELSON","2023-06-22","10:55","9.12","9.05",NA,NA,0.07,"0.768",NA,NA,NA,NA,0.08,"0.889","RTM-98"
"ANH","2023-06-21","10:20","NEUMAYR","RTM-84","main","pH","pH Units","Excellent","7.4","7.57","7.46","7.46",0.17,"2.297","NELSON","2023-06-22","10:55","7.01","7.01","10.05","10.02",0,"0",0.03,"0.597","0.015","0.2985",0.185,"2.5955","RTM-98"
"ANH","2023-06-21","10:20","NEUMAYR","RTM-84","main","Turbidity","FNU","MAL","8.29","7.81","10.36","13.54",-3.66,"-44.15","NELSON","2023-06-22","10:55","0","0.06","124","121.41",-0.06,"-1",2.59,"4.177","1.325","1.5885",4.985,"45.7385","RTM-98"
