Filename,Sheetname,Sonde ID,Field Visit Performed by,Parameter,Field Date,Post Deployment Date,Exchange Time,Post Deployment Time,Post Cal Performed by,Verification Pre-clean,Verification Post-clean,Sonde Pre-clean,Sonde Post-clean,Sonde Post-deployment standard 1,Standard Post-deployment standard 1,Field Exchange Datetime,Post Deployment Datetime,Post-cal time elapsed (h),Group,Sonde Post-deployment standard 2,Standard Post-deployment standard 2,FieldCheckVerificationSonde,FieldCheckRemovedSonde,FieldCheckNewInstalledSonde,FieldCheckVerifcationDateTime,PostCalibrationStaff,FieldStaffSecond,Fouling Error,Fouling Error Pct,Calibration Error,Calibration Error Pct,Total Error,Total Error Pct,Wagner Rating
DRIFT_ANH_2019_01_25,Primary,RTM82,MN,DO,01/25/2019,01/25/2019,00:00,00:00,AP,9.6,9.44,9.45,9.48,9.33,9.26,01/25/2019 00:00,01/25/2019 00:00,0,CEMP,,,,,,,,,-0.19,-1.979166667,-0.07,-0.750267953,0.26,2.72943462,Excellent
DRIFT_ANH_2019_02_28,Primary,RTM 55,MN,DO,02/28/2019,03/01/2019,00:00,00:00,AP,10.41,10.39,10.59,10.61,9.38,9.51,02/28/2019 00:00,03/01/2019 00:00,24,CEMP,,,,,,,,,-0.04,-0.384245917,0.13,1.385927505,0.17,1.770173423,Excellent
DRIFT_ANH_2019_04_03,Primary,RTM 77,MN,DO,04/03/2019,04/04/2019,00:00,00:00,MN,9.7,9.68,9.59,9.59,9.28,9.25,04/03/2019 00:00,04/04/2019 00:00,24,CEMP,,,,,,,,,-0.02,-0.206185567,-0.03,-0.323275862,0.05,0.529461429,Excellent
DRIFT_ANH_2019_05_09,Primary,RTM 90,MN,DO,05/09/2019,05/10/2019,00:00,00:00,MN,8.87,8.87,8.84,8.89,9.2,9.15,05/09/2019 00:00,05/10/2019 00:00,24,CEMP,,,,,,,,,-0.05,-0.563697858,-0.05,-0.543478261,0.1,1.107176119,Excellent
DRIFT_ANH_2019_06_05,Primary,RTM 80,MN,DO,06/05/2019,06/06/2019,00:00,00:00,AP,8.35,8.27,8.27,8.18,9.07,9.05,06/05/2019 00:00,06/06/2019 00:00,24,CEMP,,,,,,,,,0.01,0.119760479,-0.02,-0.220507166,0.03,0.340267646,Excellent
DRIFT_ANH_2019_07_09,Primary,RTM 56,MN,DO,07/09/2019,07/10/2019,00:00,00:00,MN,8.4,8.28,8.28,8.28,9.32,9.37,07/09/2019 00:00,07/10/2019 00:00,24,CEMP,,,,,,,,,-0.12,-1.428571429,0.05,0.536480687,0.17,1.965052115,Excellent
DRIFT_ANH_2019_08_13,Primary,RTM 66,MN,DO,08/13/2019,08/14/2019,00:00,00:00,J. SKAGGS,7.98,7.89,7.83,7.89,9.19,9.15,08/13/2019 00:00,08/14/2019 00:00,24,CEMP,,,,,,,,,-0.15,-1.879699248,-0.04,-0.435255713,0.19,2.314954961,Excellent
DRIFT_ANH_2019_09_17,Primary,RTM 48,MN,DO,09/17/2019,09/18/2019,00:00,00:00,JA,8.03,8.01,8.03,8.01,9.13,9.16,09/17/2019 00:00,09/18/2019 00:00,24,CEMP,,,,,,,,,0,0,0.03,0.328587076,0.03,0.328587076,Excellent
DRIFT_FRK_2019_01_30,Primary,RTM-32,AT,DO,01/30/2019,02/01/2019,00:00,00:00,AP,8.51,8.51,8.78,8.81,9.22,9.72,01/30/2019 00:00,02/01/2019 00:00,48,CEMP,,,,,,,,,-0.03,-0.352526439,0.5,5.422993492,0.53,5.775519932,Fair
DRIFT_FRK_2019_03_01,Primary,RTM-17,AT,DO,03/01/2019,03/01/2019,00:00,00:00,AT,10.23,10.23,10.22,10.31,9.22,9.31,03/01/2019 00:00,03/01/2019 00:00,0,CEMP,,,,,,,,,-0.09,-0.879765396,0.09,0.976138829,0.18,1.855904225,Excellent
DRIFT_FRK_2019_03_26,Primary,RTM-35,AP,DO,03/26/2019,03/26/2019,00:00,00:00,AP,9.86,9.73,9.83,9.76,9.19,9.24,03/26/2019 00:00,03/26/2019 00:00,0,CEMP,,,,,,,,,-0.06,-0.60851927,0.05,0.544069641,0.11,1.152588911,Excellent
DRIFT_FRK_2019_04_23,Primary,PL-5,AT,DO,04/23/2019,04/24/2019,00:00,00:00,AP,10.05,10.04,9.95,9.91,9.11,9.11,04/23/2019 00:00,04/24/2019 00:00,24,CEMP,,,,,,,,,0.03,0.298507463,0,0,0.03,0.298507463,Excellent
