StationID,CDEC ID,Component,Location,Latitude,Longitude,Status
D12A,ANH,Continuous WQ,San Joaquin River @ Antioch Ship Canal,38.01783,-121.802963,Active
S49,BDL,Continuous WQ,Montezuma Slough near Beldon Landing,38.1869,-121.9708,Active
C6,BDT,Continuous WQ,San Joaquin River @ Brandt Bridge site,37.865,-121.3231,Active
SLBAR3,BKS,Continuous WQ,Barker Slough at North Bay Aqueduct (SLBAR3),38.2759,-121.7965,Active
C19,CCS,Continuous WQ,Cache Slough @ City of Vallejo Intake,38.2918,-121.742,Inactive
C2,CLL,Continuous WQ,Sacramento River @ Collinsville,38.073981,-121.850123,Active
C5,CNT,Continuous WQ,Contra Costa Canal @ Pumping Plant #1,37.99495,-121.702809,Active
DMC1,DMC,Continuous WQ,Delta-Mendota Canal at Tracy Pumping Plant,37.781567,-121.590239,Active
D22,EMM,Continuous WQ,Sacramento River @ Emmaton,38.084272,-121.738924,Active
FPT,FPT,Continuous WQ,Sacramento River (I St. Bridge to Freeport),38.456112,-121.5003,Active
D19A,FRK,Continuous WQ,Franks Tract Mid Tract,38.046417,-121.5981,Active
S35,GYS,Continuous WQ,Goodyear Slough @ Morrow Island Clubhouse,38.118,-122.095,Active
D7A,GZL,Continuous WQ,Grizzly Bay @ Dolphin near Suisun Slough,38.12425,-122.038117,Active
D9A,HON,Continuous WQ,Sacramento River above Point Sacramento,38.0724,-121.9392,Active
S97,IBS,Continuous WQ,Cordelia Slough @ Ibis Club,38.157,-122.113,Active
D10A,MAL,Continuous WQ,Sacramento River @ Chipps Island,38.042805,-121.92009,Active
C13,MOK,Continuous WQ,Mokelumne River @ Terminous,38.1061,-121.5711,Active
D6A,MRZ,Continuous WQ,Suisun Bay @ Bulls Head Point near Martinez,38.027637,-122.140488,Active
C7A,MSD,Continuous WQ,San Joaquin River @ Mossdale Bridge,37.786,-121.306,Active
S64,NSL,Continuous WQ,Montezuma Slough @ National Steel,38.1221,-121.8881,Active
D28A,OBI,Continuous WQ,Old River @ Rancho Del Rio,37.969368,-121.57222,Active
P12,OLD,Continuous WQ,Old River @ Tracy Road Bridge,37.80481,-121.449562,Active
C14,PCT,Continuous WQ,Sacramento River @ Port Chicago,38.056788,-121.999971,Active
D29,PPT,Continuous WQ,San Joaquin River @ Prisoners Point,38.066,-121.562,Active
ROR,ROR,Continuous WQ,Water supply intakes for waterfowl management areas on Van Sickle Island and Chipps Island,38.0931,-121.8875,Inactive
P8A,RRI,Continuous WQ,San Joaquin River @ Rough and Ready Island,37.963,-121.365,Active
D24A,RVB,Continuous WQ,Sacramento River below Rio Vista Bridge,38.159737,-121.686355,Active
D8A,RYC,Continuous WQ,Suisun Bay off Middle Point near Nichols,38.083971,-121.995878,Active
C4,SAL,Continuous WQ,San Joaquin River @ San Andreas Landing,38.103301,-121.591315,Active
D15,SJJ,Continuous WQ,San Joaquin River @ Jersey Point,38.052,-121.689,Active
C10A,SJR,Continuous WQ,San Joaquin River near Vernalis @ SJR Club,37.67929,-121.26511,Active
S21,SNC,Continuous WQ,Chadbourne Slough @ Sunrise Duck Club,38.185,-122.083,Active
C3A,SRH,Continuous WQ,Sacramento River @ Hood,38.367981,-121.519958,Active
D11A,SSI,Continuous WQ,Sacramento River near Sherman Island,38.074097,-121.761736,Active
TRN,TRN,Continuous WQ,San Joaquin River (Turner Cut to Stockton),37.9928,-121.4542,Active
D16A,TWI,Continuous WQ,San Joaquin River @ Twitchell Island,38.0969,-121.6691,Active
C8,UNI,Continuous WQ,Old River near Middle River,37.822101,-121.37499,Active
S42,VOL,Continuous WQ,Suisun Slough 300' south of Volanti Slough,38.181,-122.046,Active
C9,WCI,Continuous WQ,West Canal @ Clifton Court Intake,37.8316,-121.554,Active
C10,,Discrete WQ,San Joaquin River near Vernalis  ,37.67575,-121.265,Inactive
C10A,,Discrete WQ,San Joaquin River near Vernalis @ SJR Club,37.67934,-121.2647,Active
C3,,Discrete WQ,Sacramento River @ Green's Landing,38.34575,-121.5461,Inactive
C3A,,Discrete WQ,Sacramento River @ Hood,38.36771,-121.5205,Active
C7,,Discrete WQ,San Joaquin River from Boat Dock @ Mossdale Bridge,37.78607,-121.3077,Inactive
C9,,Discrete WQ,West Canal @ Clifton Court Intake,37.83095,-121.554,Active
D10,,Discrete WQ,Sacramento River @ Chipps Island,38.04631,-121.9183,Active
D11,,Discrete WQ,Sherman Lake near Antioch,38.04229,-121.7995,Inactive
D12,,Discrete WQ,San Joaquin River @ Antioch Ship Channel,38.02161,-121.8063,Active
D14A,,Discrete WQ,Big Break near Oakley,38.01776,-121.7114,Inactive
D15,,Discrete WQ,San Joaquin River @ Jersey Point,38.05217,-121.6896,Inactive
D16,,Discrete WQ,San Joaquin River @ Twitchell Island,38.0969,-121.6691,Active
D19,,Discrete WQ,Frank's Tract near Russo's Landing,38.04376,-121.6148,Active
D2,,Discrete WQ,Suisun Bay near Preston Point,38.06544,-122.0545,Inactive
D22,,Discrete WQ,Sacramento River @ Emmaton,38.08453,-121.7391,Active
D24,,Discrete WQ,Sacramento River below Rio Vista Bridge,38.15778,-121.6847,Inactive
D26,,Discrete WQ,San Joaquin River @ Potato Slough,38.07664,-121.5669,Active
D28A,,Discrete WQ,Old River @ Rancho Del Rio,37.97048,-121.573,Active
D4,,Discrete WQ,Sacramento River above Point Sacramento,38.06248,-121.8205,Active
D41 ,,Discrete WQ,San Pablo Bay near Pinole Point,38.03022,-122.3729,Active
D41A,,Discrete WQ,San Pablo Bay near Mouth of Petaluma River,38.08472,-122.3907,Active
D42,,Discrete WQ,San Pablo Bay near Mare Island,38.05872,-122.2847,Inactive
D6,,Discrete WQ,Suisun Bay @ Bulls Head nr. Martinez,38.04436,-122.1177,Active
D7,,Discrete WQ,Grizzly Bay @ Dolphin nr. Suisun Slough,38.11714,-122.0397,Active
D8,,Discrete WQ,Suisun Bay off Middle Point nr. Nichols,38.05992,-121.99,Active
