Latitude,Longitude,Region
38.04083297,-122.2629652,Carquinez Strait
38.05587438,-122.2252546,Carquinez Strait
38.02869244,-122.1695971,Carquinez Strait
38.01867895,-122.1478343,Carquinez Strait
38.03255365,-122.1190115,Carquinez Strait
38.04454009,-122.1299969,Carquinez Strait
38.07147602,-122.1884032,Carquinez Strait
38.06599017,-122.2251906,Carquinez Strait
38.07892681,-122.2428394,Carquinez Strait
38.06635815,-122.272324,Carquinez Strait
38.04083297,-122.2629652,Carquinez Strait
37.99521758,-121.4451394,Central Delta
37.99180467,-121.4361799,Central Delta
37.99144533,-121.4099515,Central Delta
38.01344982,-121.3818447,Central Delta
38.0867027,-121.4161604,Central Delta
38.1210805,-121.4938837,Central Delta
38.13383532,-121.5672104,Central Delta
38.10984374,-121.6517462,Central Delta
38.10530667,-121.6992079,Central Delta
38.07978812,-121.7044337,Central Delta
38.07877221,-121.7301483,Central Delta
38.01292363,-121.7339566,Central Delta
37.98734333,-121.7090873,Central Delta
37.93917619,-121.6274296,Central Delta
37.93903019,-121.522517,Central Delta
37.97031303,-121.5240013,Central Delta
37.97054058,-121.4743955,Central Delta
37.99521758,-121.4451394,Central Delta
38.06558997,-121.7999718,Confluence
38.07916496,-121.8510832,Confluence
38.053821,-121.8927783,Confluence
38.07171212,-121.9118009,Confluence
38.07629025,-121.902033,Confluence
38.08492227,-121.9131852,Confluence
38.07605741,-121.9705601,Confluence
38.04538105,-121.9707727,Confluence
38.01118764,-121.8347024,Confluence
38.00438197,-121.7882952,Confluence
38.01276451,-121.7341492,Confluence
38.0787189,-121.730194,Confluence
38.07978935,-121.704652,Confluence
38.10548949,-121.6989766,Confluence
38.11150874,-121.7139612,Confluence
38.06558997,-121.7999718,Confluence
38.25391786,-121.8411359,North Delta
38.15630803,-121.6912824,North Delta
38.11168254,-121.7141474,North Delta
38.10550444,-121.6990979,North Delta
38.11000634,-121.650756,North Delta
38.13391115,-121.5662515,North Delta
38.24534003,-121.5076452,North Delta
38.45722567,-121.4996075,North Delta
38.36636643,-121.7742509,North Delta
38.25391786,-121.8411359,North Delta
37.96352617,-122.4271623,San Pablo Bay
37.94398438,-122.3859253,San Pablo Bay
37.98508611,-122.3404916,San Pablo Bay
38.03492155,-122.2608955,San Pablo Bay
38.12024578,-122.2919159,San Pablo Bay
38.16077368,-122.407143,San Pablo Bay
38.11086429,-122.4898397,San Pablo Bay
38.01687127,-122.5081011,San Pablo Bay
37.98552097,-122.4512879,San Pablo Bay
37.96352617,-122.4271623,San Pablo Bay
37.93901325,-121.6273269,South Delta
37.77435301,-121.6272558,South Delta
37.75688966,-121.5773908,South Delta
37.76371153,-121.3494613,South Delta
37.66588806,-121.2610271,South Delta
37.71959497,-121.2556589,South Delta
37.95577704,-121.2892095,South Delta
38.01334094,-121.3816532,South Delta
37.99152566,-121.4096433,South Delta
37.99164306,-121.4361788,South Delta
37.9951364,-121.4451383,South Delta
37.97045867,-121.4743151,South Delta
37.97004833,-121.524169,South Delta
37.93889851,-121.5223501,South Delta
37.93901325,-121.6273269,South Delta
38.04552514,-121.9709443,Suisun and Grizzly Bay
38.07607767,-121.9705959,Suisun and Grizzly Bay
38.09490853,-122.011401,Suisun and Grizzly Bay
38.11448757,-121.9830858,Suisun and Grizzly Bay
38.14287257,-122.0026135,Suisun and Grizzly Bay
38.13387046,-122.0635481,Suisun and Grizzly Bay
38.11992965,-122.0660923,Suisun and Grizzly Bay
38.04491569,-122.1303169,Suisun and Grizzly Bay
38.0329119,-122.1193247,Suisun and Grizzly Bay
38.04552514,-121.9709443,Suisun and Grizzly Bay
38.13382437,-122.06358,Suisun Marsh
38.1428849,-122.0025926,Suisun Marsh
38.11442958,-121.9829878,Suisun Marsh
38.09493514,-122.0113194,Suisun Marsh
38.07608224,-121.9705718,Suisun Marsh
38.08516938,-121.9128045,Suisun Marsh
38.076376,-121.9019994,Suisun Marsh
38.07165338,-121.9119091,Suisun Marsh
38.05396488,-121.8926434,Suisun Marsh
38.07922666,-121.8509663,Suisun Marsh
38.22878349,-121.8990549,Suisun Marsh
38.22922657,-121.9771412,Suisun Marsh
38.24336502,-122.0207921,Suisun Marsh
38.24242047,-122.0410742,Suisun Marsh
38.22736258,-122.1202775,Suisun Marsh
38.21726386,-122.1363535,Suisun Marsh
38.18575735,-122.1361901,Suisun Marsh
38.15512381,-122.113557,Suisun Marsh
38.08340542,-122.1070737,Suisun Marsh
38.08021171,-122.1000676,Suisun Marsh
38.119955,-122.0660893,Suisun Marsh
38.13382437,-122.06358,Suisun Marsh
