sonde_name,start_time,end_time,cdec_code,staff_name_visit,analyte_name,unit_name,sonde_clean,sonde_dirty,verification_clean,verification_dirty,sonde_diff,verification_diff,fouling_error,fouling_percent,staff_name_postdeploy,postdeploy_time,postdeploy_standard_1,postdeploy_reading_1,postdeploy_standard_2,postdeploy_reading_2,drift_error,drift_percent,total_error,total_percent,rating,lot_number
SM-34,1/4/2024 9:47,1/23/2024 10:06,GOD,George Benny,Turbidity,NTU,44.71,43.89,46.81,46.68,0.82,0.13,0.69,1.572112098,George Benny,1/24/2024 8:50,0,-0.21,124,125.87,1.04,-1.485659808,1.73,3.057771906,Excellent,23E24001726
SM-47,1/11/2024 9:40,2/22/2024 11:52,NSL,Kobe Carpenter,Turbidity,NTU,36.9,31.9,37.82,30.51,5,7.31,-2.31,-7.24137931,Jason Moore,2/23/2024 9:00,0,-0.6,124,126.74,1.67,-2.161906265,3.98,9.403285575,Excellent,23E24001726
SM-21,1/11/2024 10:50,2/22/2024 10:50,CSE,Kobe Carpenter,Turbidity,NTU,47.52,45.98,50.37,47.24,1.54,3.13,-1.59,-3.458025228,Jason Moore,2/23/2024 7:30,0,0.35,124,122.87,0.74,0.919671197,2.33,4.377696426,Excellent,23E24001726
SM-29,1/23/2024 10:06,2/13/2024 12:06,GOD,Kobe Carpenter,Turbidity,NTU,72.21,85.5,69.59,84.3,-13.29,-14.71,1.42,1.660818713,Jason Moore,2/14/2024 14:30,0,-0.12,124,123.57,0.275,0.347980902,1.695,2.008799615,Excellent,23E24001726
SM-49,2/21/2024 11:45,3/28/2024 10:30,GZB,Travis Brown,Turbidity,NTU,119,71.3,115,74.6,47.7,40.4,7.3,10.23842917,Kobe Carpenter,3/29/2024 8:47,0,0.3,124,124.84,0.57,-0.672861262,7.87,10.91129043,Excellent,23G24003826
SM-52,2/21/2024 12:18,3/28/2024 11:17,GZM,Travis Brown,Turbidity,NTU,124,53.7,130,56.1,70.3,73.9,-3.6,-6.703910615,Kobe Carpenter,3/29/2024 9:06,0,-0.1,124,125.01,0.555,-0.807935365,4.155,7.51184598,Excellent,23G24003826
SM-24,2/21/2024 14:10,4/25/2024 12:10,VOL,Jason Moore,Turbidity,NTU,73.72,76.7,55.91,50.82,-2.98,5.09,-8.07,-10.52151239,Jeremy DelCid,4/26/2024 15:21,0,0.2,124,179.43,27.815,-30.89226997,35.885,41.41378235,Unreliable,23G24003826
SM-23,2/21/2024 15:15,3/20/2024 9:30,HSL,Jeremy DelCid,Turbidity,NTU,44.51,44.75,39.21,43.47,-0.24,-4.26,4.02,8.983240223,Travis Brown,3/22/2024 14:16,0,0.38,124,128.1,2.24,-3.200624512,6.26,12.18386474,Excellent,23G24003826
SM-28,2/22/2024 10:50,3/20/2024 8:46,CSE,Jason Moore,Turbidity,NTU,26.5,12.2,24.5,12.75,14.3,11.75,2.55,20.90163934,Jason Moore,3/21/2024 10:30,0,0.08,124,123.81,0.135,0.153460948,2.685,21.05510029,Fair,23G24003826
SM-20,2/22/2024 11:52,3/20/2024 9:46,NSL,Jason Moore,Turbidity,NTU,40.64,32.53,44.56,37.2,8.11,7.36,0.75,2.305564095,Jason Moore,3/21/2024 9:30,0,0.16,124,126.7,1.43,-2.131018153,2.18,4.436582248,Excellent,23G24003826
