Program,Filename,Instrument_ID,Turbidity_Std,Turbidity_FNU,Type,Date,PostCalDate,Instrument ID,PostCalCentered,Std_prefix,Std_Age
CEMP,POST_FRK_100_2024-06-11.pdf,RTM 100,22E24001726,123.88,postcal,6/12/2024,2024-06-12,NA,-0.12000000000000455,22E,Old
WQA,NA,SM-46,22G22290213,127.68,postcal,4/29/2024,2024-04-29,NA,3.680000000000007,22G,Old
WQA,NA,SM-21,23E24001726,122.87,postcal,2/23/2024,2024-02-23,NA,-1.1299999999999955,23E,Old
WQA,NA,SM-29,23E24001726,123.57,postcal,2/14/2024,2024-02-14,NA,-0.4300000000000068,23E,Old
WQA,NA,SM-34,23E24001726,125.87,postcal,1/24/2024,2024-01-24,NA,1.8700000000000045,23E,Old
WQA,NA,SM-47,23E24001726,126.74,postcal,2/23/2024,2024-02-23,NA,2.739999999999995,23E,Old
CEMP,POST_RRIA_80_2024-06-05.pdf,RTM-80,23F24003259,123.15,postcal,6/5/2024,2024-06-05,NA,-0.8499999999999943,23F,Old
CEMP,POST_RVB_78_2024-06-19.pdf,RTM-78,23F24003259,123.5,postcal,6/19/2024,2024-06-19,NA,-0.5,23F,Old
CEMP,POST_RRIB_81_2024-06-05.pdf,RTM-81,23F24003259,124.03,postcal,6/5/2024,2024-06-05,NA,0.030000000000001137,23F,Old
WQA,NA,SM-RIC,23G24003826,114.25,postcal,7/12/2024,2024-07-12,NA,-9.75,23G,Old
WQA,NA,SM-21,23G24003826,116.82,postcal,6/18/2024,2024-06-18,NA,-7.180000000000007,23G,Old
WQA,NA,SM-34,23G24003826,120,postcal,8/2/2024,2024-08-02,NA,-4,23G,Old
WQA,NA,SM-29,23G24003826,120.25,postcal,6/13/2024,2024-06-13,NA,-3.75,23G,Old
WQA,NA,SM-46,23G24003826,120.62,postcal,9/6/2024,2024-09-06,NA,-3.3799999999999955,23G,Old
WQA,NA,SM-47,23G24003826,121.18,postcal,6/18/2024,2024-06-18,NA,-2.819999999999993,23G,Old
WQA,NA,SM-45,23G24003826,122.61,postcal,6/4/2024,2024-06-04,NA,-1.3900000000000006,23G,Old
WQA,NA,SM-47,23G24003826,122.81,postcal,4/24/2024,2024-04-24,NA,-1.1899999999999977,23G,Old
WQA,NA,SM-RAM,23G24003826,123.09,postcal,8/30/2024,2024-08-30,NA,-0.9099999999999966,23G,Old
WQA,NA,SM-22,23G24003826,123.68,postcal,4/11/2024,2024-04-11,NA,-0.3199999999999932,23G,Old
WQA,NA,SM-53,23G24003826,123.73,postcal,4/26/2024,2024-04-26,NA,-0.269999999999996,23G,Old
WQA,NA,SM-28,23G24003826,123.81,postcal,3/21/2024,2024-03-21,NA,-0.18999999999999773,23G,Old
WQA,NA,SM-22,23G24003826,123.84,postcal,6/4/2024,2024-06-04,NA,-0.1599999999999966,23G,Old
