CalDate,PostCalDate,ExpectedVal,CalVal,PostCalVal,Program,Station,Sonde
6/3/2024,7/3/2024,124,,125.81,WQA,,SM-39
7/1/2024,8/8/2024,124,,124.72,WQA,,SM-45
7/24/2024,8/21/2024,124,,131.37,WQA,,SM-21
6/18/2024,7/25/2024,124,,124.67,WQA,,SM-28
7/31/2024,8/15/2024,124,,125.67,WQA,,SM-29
7/16/2024,8/2/2024,124,,120,WQA,,SM-34
8/1/2024,9/27/2024,124,,125.79,WQA,,SM-49 
8/1/2024,9/26/2024,124,,122.21,WQA,,SM-52
5/20/2024,8/5/2024,124,,119,WQA,,SM-53
4/24/2024,6/21/2024,124,,116.45,WQA,,SM-27
4/24/2024,6/21/2024,124,,114.1,WQA,,SM-44
6/19/2024,9/6/2024,124,,120.62,WQA,,SM-46
7/1/2024,8/8/2024,124,,124.7,WQA,,SM-22
6/3/2024,7/3/2024,124,,124.57,WQA,,SM-31
6/18/2024,7/25/2024,124,,125.38,WQA,,SM-20
7/24/2024,8/21/2024,124,,133.07,WQA,,SM-47
4/25/2024,6/21/2024,124,,116.5,WQA,,SM-23
6/12/2024,7/17/2024,124,123.88,112.92,CEMP,,RTM-100
7/16/2024,8/16/2024,124,113.96,133.85,CEMP,,RTM-103
6/10/2024,7/10/2024,124,126.88,111.2,CEMP,,RTM-94
7/9/2024,8/15/2024,124,116.57,130.52,CEMP,,RTM-99
6/19/2024,7/19/2024,124,123.5,112.04,CEMP,,RTM-78
7/17/2024,8/7/2024,124,113.55,123.99,CEMP,,RTM-55
6/19/2024,7/19/2024,124,123.27,113.51,CEMP,,RTM-79
7/16/2024,8/16/2024,124,114.26,133.96,CEMP,,RTM-104
6/5/2024,7/18/2024,124,124.03,113.78,CEMP,,RTM-81
7/15/2024,8/22/2024,124,113.84,122.8,CEMP,,RTM-80
6/5/2024,7/9/2024,124,123.15,111.4,CEMP,,RTM-80
7/1/2024,7/24/2024,124,113.12,127.99,CEMP,,RTM-90
6/17/2024,7/17/2024,124,122.45,113.55,CEMP,,RTM-55
6/17/2024,7/17/2024,124,122.94,116.49,CEMP,,RTM-65
6/10/2024,7/11/2024,124,124.97,110.3,CEMP,,RTM-64
7/9/2024,8/15/2024,124,112.4,133.52,CEMP,,RTM-111
7/9/2024,9/18/2024,124,115.8,124.71,CEMP,,RTM-56
7/30/2024,8/21/2024,124,114.61,134.22,CEMP,,RTM-81
7/30/2024,8/21/2024,124,115.61,132.96,CEMP,,RTM-82
7/30/2024,8/21/2024,124,113.2,134.55,CEMP,,RTM-85
7/30/2024,8/21/2024,124,120.18,133.67,CEMP,,RTM-93
6/19/2024,7/30/2024,124,122.9,114.44,CEMP,,RTM-92
7/17/2024,8/6/2024,124,116.49,124.06,CEMP,,RTM-65
6/17/2024,7/17/2024,124,123.82,112.4,CEMP,,RTM-106
7/15/2024,8/7/2024,124,114.03,123.28,CEMP,,RTM-108
6/17/2024,7/17/2024,124,123.68,116.7,CEMP,,RTM-114
7/15/2024,8/7/2024,124,114.1,114.86,CEMP,,RTM-110
6/19/2024,7/17/2024,124,122.9,113.7,CEMP,,RTM-105
7/17/2024,8/22/2024,124,112.4,123.99,CEMP,,RTM-106
6/19/2024,7/17/2024,124,123.36,113.8,CEMP,,RTM-91
7/17/2024,8/23/2024,124,116.7,124.11,CEMP,,RTM-114
6/10/2024,7/10/2024,124,125.62,112.2,CEMP,,RTM-102
7/9/2024,8/15/2024,124,122.78,135.7,CEMP,,RTM-87
6/10/2024,7/11/2024,124,124.8,112,CEMP,,RTM-71
7/9/2024,8/15/2024,124,112.71,135.14,CEMP,,RTM-101
6/3/2024,7/3/2024,124,124.46,113.99,NCRO,,ND-8
6/3/2024,7/3/2024,124,123.58,114.47,NCRO,,ND-3
6/3/2024,7/10/2024,124,124.41,116.99,NCRO,,XO2-76
6/3/2024,7/10/2024,124,122.36,116.85,NCRO,,XO2-86
6/3/2024,7/10/2024,124,138.66,105.53,NCRO,,XO2-62
6/5/2024,7/2/2024,124,124.64,114.3,NCRO,,XO2-71
6/5/2024,7/2/2024,124,125.04,114.25,NCRO,,XO2-75
6/10/2024,7/10/2024,124,124.01,115.27,NCRO,,XO2-14
