Observation ID,Location ID,Observed Property ID,Observed DateTime,Analyzed DateTime,Depth,Depth Unit,Data Classification,Result Value,Result Unit,Source of Rounded Value,Rounded Value,Rounding Specification,Result Status,Result Grade,Medium,Activity ID,Activity Name,Collection Method,Field: Device ID,Field: Device Type,Field: Comment,Lab: Specimen Name,Lab: Analysis Method,Lab: Detection Condition,Lab: Limit Type,Lab: MDL,Lab: MRL,Lab: Quality Flag,Lab: Received DateTime,Lab: Prepared DateTime,Lab: Sample Fraction,Lab: From Laboratory,Lab: Sample ID,Lab: Dilution Factor,Lab: Comment,QC: Type,QC: Source Sample ID,Standards Violations,Specimen: Taxonomy Element,CAS Number,Latitude,Longitude,Elevation,Elevation Unit,Country,State,County,Location Type,Field Visit Start Date,Validation Warnings,Location Group,EA_Current Name,EA_Field Quality Flag,EA_Filter Container ID,EA_Modified Method,EA_Parent Sample ID,EA_Profile Type,EA_Project Type,EA_Reports To,EA_Sampling Depth
000670a1-d2bc-4c12-a8a4-aaf80d1096aa,Equipment Blank,Dissolved Calcium,2025-01-07 13:00:00.000[PST],2025-01-22 14:30:00.000[PST],,,LAB,,mg/L,,,,Reviewed,Good,Water,c15cec6a-4f1c-4fac-841e-ac34635b8468,E0125B0034,,,,,Lab Data,EPA 200.7;Determination of Metals and Trace Elements in Water and Wastes by Inductively Coupled Plasma-Atomic Emission Spectrometry;EPA Methods,NOT_DETECTED,,,1,,2025-01-08 10:10:00.000[PST],,,Bryte,,1,,BLANK,,,,,,,,,,,,,1/7/2025,,,,,,FALSE,,,Routine Monitoring,MRL,3
00127ef1-b505-4c25-8750-09d02cd27ffa,C9,Dissolved Orthophosphate,2025-01-06 12:30:00.000[PST],2025-01-16 12:15:00.000[PST],12.2,ft,LAB,0.067,mg/L,,,,Preliminary,Unknown,Water,26426e24-3f52-4d4f-b20d-cb2d67ff20a3,E0125B0019,,,,,Lab Data,EPA 365.1;Phosphorus (all forms) by Semi-Automated Colorimetry;EPA Methods,,,,0.05,,2025-01-07 12:25:00.000[PST],,,Bryte,,1,,,,,,,37.830917,-121.554004,,,,,,River,1/6/2025,,South Delta,,,,FALSE,,,Routine Monitoring,MRL,3
001ad1b6-2293-4033-93f3-8a6f5d7cdd73,D8,Dissolved Organic Carbon,2025-08-18 12:45:00.000[PST],2025-08-29 23:00:00.000[PST],47.6,ft,LAB,1.4,mg/L,,,,Preliminary,Unknown,Water,d69e8f0c-5be5-475c-8185-2126a1b7b287,E0825B3024,,,,,Lab Data,Std Method 5310 C (D);Total Organic Carbon by Persulfate-UV or Heated-Persulfate Oxidation Method;Standard Methods,,,,0.5,,2025-08-19 10:45:00.000[PST],,,Bryte,,1,,,,,,,38.059971,-121.992062,,,,,,Bay,8/18/2025,,Suisun & Grizzly Bay,,,,FALSE,,,Routine Monitoring,MRL,3
001ad8ef-86d6-419d-89a6-9ea1a994026f,LSZ6,Total Suspended Solids,2025-06-18 09:00:00.000[PST],2025-06-19 14:45:00.000[PST],44.7,ft,LAB,18.3,mg/L,,,,Preliminary,Unknown,Water,3cec9d5c-eff0-4ee4-8059-c1efa569e61a,E0625B2349,,,,,Lab Data,Std Method 2540 D;Total Suspended Solids Dried at 103-105 degC;Standard Methods,,,,2.5,,2025-06-19 12:30:00.000[PST],,,Bryte,,1,,,,,,,,,,,,,,,6/18/2025,,Low Salinity Zone,,,,FALSE,,,Routine Monitoring,MRL,3
0020b3f1-bc5e-47b3-8dd3-afbf87bfc807,NZ032,Dissolved Calcium,2025-12-16 12:05:00.000[PST],2026-01-14 10:55:00.000[PST],31.6,ft,LAB,113,mg/L,,,,Reviewed,Flagged,Water,9f0ff958-a688-4664-ab24-4e5c967fe60c,E1225B3891,,,,,Lab Data,EPA 200.7;Determination of Metals and Trace Elements in Water and Wastes by Inductively Coupled Plasma-Atomic Emission Spectrometry;EPA Methods,,,,8,R4,2025-12-17 10:20:00.000[PST],,,Bryte,,8,,REPLICATE,6ca442e8-1fca-4cad-8ffb-dccb669f0a14,,,,38.171063,-122.020467,,,,,,Slough,12/16/2025,A quality flag was present for this result,Suisun Marsh,,,,FALSE,E1225B3890,,Routine Monitoring,MRL,3
0021b504-f6ef-4a3a-ba02-3c7d42961048,NZ068,Chlorophyll a,2025-05-22 13:25:00.000[PST],2025-06-11 09:10:00.000[PST],20.7,ft,LAB,0.9,ug/L,,,,Preliminary,Unknown,Water,e0bcc713-fc25-42e1-b425-ea0c802e47ec,E0525B1950,,,,,Lab Data,Std Method 10200 H;Spectrophotometric Determination of Chlorophyll;Standard Methods,,,,0.5,,2025-05-23 13:30:00.000[PST],,,Bryte,,1,,,,,,,38.142716,-121.68948,,,,,,River,5/22/2025,,North Delta,,,,FALSE,,,Routine Monitoring,MRL,3
00240d8f-d120-4d0e-88e2-42babbddb621,C9,Total Alkalinity,2025-08-12 09:15:00.000[PST],2025-08-19 13:55:00.000[PST],12.5,ft,LAB,56.3,mg/L,,,,Preliminary,Unknown,Water,5c160962-52ce-411c-8586-d1c400b20124,E0825B2812,,,,,Lab Data,Std Method 2320 B;Alkalinity by Titration;Standard Methods,,,,20,,2025-08-13 10:45:00.000[PST],,,Bryte,,1,,,,,,,37.830917,-121.554004,,,,,,River,8/12/2025,,South Delta,,,,FALSE,,,Routine Monitoring,MRL,3
002df291-7e9a-4993-b4a3-6d80ae1ed5c6,D28A,Total Suspended Solids,2025-11-24 10:50:00.000[PST],2025-11-26 13:20:00.000[PST],22,ft,LAB,,mg/L,,,,Preliminary,Unknown,Water,8347ceac-3847-4ce5-b773-c77e826df23a,E1125B3548,,,,,Lab Data,Std Method 2540 D;Total Suspended Solids Dried at 103-105 degC;Standard Methods,NOT_DETECTED,,,2.5,,2025-11-25 13:45:00.000[PST],,,Bryte,,1,,,,,,,37.969697,-121.573145,,,,,,River,11/24/2025,,Central Delta,,,,FALSE,,,Routine Monitoring,MRL,3
002e26c9-dc71-42a2-b791-d6c55e8db301,C10A,Dissolved Chloride,2025-11-10 13:45:00.000[PST],2025-11-14 22:45:00.000[PST],3.1,ft,LAB,90.6,mg/L,,,,Reviewed,Flagged,Water,636faaa5-aa50-4a2e-8db9-82f8294b0774,E1125B3538,,,,,Lab Data,EPA 300.0;Determination of Inorganic Anions by Ion Chromatography;EPA Methods,,,,5,R4,2025-11-12 09:30:00.000[PST],,,Bryte,,5,,REPLICATE,bcbb960c-c1ae-4b63-8f7e-12b6fc404cb7,,,,37.679343,-121.264857,,,,,,River,11/10/2025,A quality flag was present for this result,South Delta,,,,FALSE,E1125B3537,,Routine Monitoring,MRL,3
0034016e-61a2-4bf8-96a1-e0afb314b769,Equipment Blank,Chlorophyll a,2025-08-20 13:05:00.000[PST],2025-09-08 16:25:00.000[PST],,,LAB,,ug/L,,,,Reviewed,Good,Water,eb1dbe69-6ccf-47ef-a11a-e97b06774514,E0825B3128,,,,,Lab Data,Std Method 10200 H;Spectrophotometric Determination of Chlorophyll;Standard Methods,NOT_DETECTED,,,0.5,,2025-08-21 10:45:00.000[PST],,,Bryte,,1,,BLANK,,,,,,,,,,,,,8/20/2025,,,,,,FALSE,,,Routine Monitoring,MRL,3
00362cc1-be92-4184-af0c-af9bc9b8d96c,D19,Rain,2025-08-28 09:05:00.000[PST],1950-01-01 12:00:00.000[PST],35.5,ft,FIELD,None,,,,,Preliminary,Unknown,Water,04350cf6-e686-41d2-bf28-cbf3e110d904,E0825B2823,,,,no zooplankton tow,Field Data,,,,,,,,,,,,,,,,,,,38.047662,-121.622335,,,,,,Bay,8/28/2025,,Central Delta,,,,FALSE,,,Routine Monitoring,MRL,
