Station,Date,Time,Sampling_Depth,Analyte,Result_Value,Result_Unit,Detection_Status,MRL,Analysis_Method,QC_Flag,Field_Comment
C10A,2025-01-06,13:45:00.000[PST],NA,Air Temperature,58,degF,Detected,NA,NA,NA,Too shallow for bottom readings
C10A,2025-01-06,13:45:00.000[PST],3,Chlorophyll Fluorescence RFU,1.012,RFU,Detected,NA,NA,NA,Too shallow for bottom readings
C10A,2025-01-06,13:45:00.000[PST],3,Chlorophyll Fluorescence ug/L,4.15,ug/L,Detected,NA,NA,NA,Too shallow for bottom readings
C10A,2025-01-06,13:45:00.000[PST],3,Chlorophyll a,4.18,ug/L,Detected,0.5,Std Method 10200 H;Spectrophotometric Determination of Chlorophyll;Standard Methods,NA,NA
C10A,2025-01-06,13:45:00.000[PST],3,Dissolved Ammonia,NA,mg/L,Not detected,0.05,EPA 350.1;Ammonia by Automated Colorimetry;EPA Methods,NA,NA
C10A,2025-01-06,13:45:00.000[PST],3,Dissolved Calcium,32.4,mg/L,Detected,1,EPA 200.7;Determination of Metals and Trace Elements in Water and Wastes by Inductively Coupled Plasma-Atomic Emission Spectrometry;EPA Methods,NA,NA
C10A,2025-01-06,13:45:00.000[PST],3,Dissolved Chloride,98,mg/L,Detected,1,EPA 300.0;Determination of Inorganic Anions by Ion Chromatography;EPA Methods,NA,NA
C10A,2025-01-06,13:45:00.000[PST],3,Dissolved Nitrate + Nitrite,1.84,mg/L,Detected,0.05,"Std Method 4500-NO3-, F;Nitrate by Automated Cadmium Reduction Method;Standard Methods",NA,NA
C10A,2025-01-06,13:45:00.000[PST],3,Dissolved Organic Carbon,3.1,mg/L,Detected,0.5,Std Method 5310 C (D);Total Organic Carbon by Persulfate-UV or Heated-Persulfate Oxidation Method;Standard Methods,NA,NA
C10A,2025-01-06,13:45:00.000[PST],3,Dissolved Organic Nitrogen,0.32,mg/L,Detected,0.1,EPA 351.2/EPA 350.1;Calculation of Dissolved Organic Nitrogen from Total Kjeldahl Nitrogen by Semi-Automated Colorimetry and Ammonia by Automated Colorimetry;EPA Methods,NA,NA
