"Longitude","Latitude","WT_C","SPC_uS.cm","PH_pH.Units","FNU_FNU","FLUOR_ug.L","FLUORRFU_RFU","DO_mg.L","DOSAT_..SAT","DateTime"
-121.76519167,38.02949167,22.2,563,7.74,7.6,2.15,0.53,8.14,93.6,"2023-09-08 10:09:00"
-121.76856,38.02895333,22.2,580,7.75,8.3,2.08,0.51,8.16,93.9,"2023-09-08 10:10:00"
-121.771015,38.02803667,22.2,620,7.75,7.9,2.1,0.51,8.15,93.7,"2023-09-08 10:11:00"
-121.77264833,38.02771,22.26,622,7.76,8.5,2.21,0.54,8.16,93.9,"2023-09-08 10:12:00"
-121.77551,38.02709667,22.22,635,7.75,9.5,2.21,0.54,8.14,93.7,"2023-09-08 10:13:00"
-121.78005,38.02607833,22.23,676,7.75,8.7,2.09,0.51,8.14,93.6,"2023-09-08 10:14:00"
-121.78526,38.02515,22.24,715,7.75,9.2,2.12,0.52,8.12,93.5,"2023-09-08 10:15:00"
-121.78917667,38.02454,22.28,757,7.74,8.8,2.09,0.51,8.07,93,"2023-09-08 10:16:00"
-121.79601167,38.02368333,22.24,801,7.74,9.7,2.22,0.54,8.08,93,"2023-09-08 10:17:00"
-121.80153,38.02303333,22.18,822,7.77,10.3,2.21,0.54,8.16,93.9,"2023-09-08 10:18:00"
-121.806925,38.02204667,22.17,890,7.76,9.7,2.18,0.53,8.15,93.7,"2023-09-08 10:19:00"
-121.811635,38.02204333,22.08,847,7.77,10.2,2.25,0.55,8.18,93.9,"2023-09-08 10:20:00"
-121.81459167,38.02249833,22.07,861,7.77,10.4,2.28,0.56,8.21,94.2,"2023-09-08 10:21:00"
-121.81717833,38.02313667,22.11,859,7.78,10,2.36,0.58,8.23,94.5,"2023-09-08 10:22:00"
-121.81970167,38.02402667,22.13,856,7.79,10,2.31,0.57,8.22,94.5,"2023-09-08 10:23:00"
-121.82276167,38.025165,22.06,880,7.78,11,2.36,0.58,8.22,94.3,"2023-09-08 10:24:00"
-121.82737,38.02700167,22.18,865,7.79,9.5,2.24,0.55,8.21,94.4,"2023-09-08 10:25:00"
-121.83282333,38.027615,22.22,906,7.78,9.1,2.06,0.5,8.19,94.3,"2023-09-08 10:26:00"
-121.838215,38.02764,22.06,1254,7.73,10.4,2.12,0.52,8.14,93.6,"2023-09-08 10:27:00"
-121.84117167,38.02760667,21.94,1265,7.74,10.9,2.14,0.52,8.18,93.7,"2023-09-08 10:28:00"
-121.84359833,38.027805,21.89,1316,7.74,11.5,2.13,0.52,8.16,93.5,"2023-09-08 10:29:00"
-121.84626333,38.02866,21.86,1293,7.75,11.4,2.19,0.54,8.18,93.6,"2023-09-08 10:30:00"
-121.850985,38.030225,21.85,1314,7.75,12.4,2.18,0.53,8.17,93.5,"2023-09-08 10:31:00"
-121.85595167,38.031235,21.84,1302,7.76,11.3,2.12,0.52,8.2,93.9,"2023-09-08 10:32:00"
-121.862065,38.03139167,21.87,1420,7.76,11.6,2.2,0.54,8.23,94.3,"2023-09-08 10:33:00"
-121.867515,38.03204167,21.94,1602,7.75,11.9,2.31,0.57,8.23,94.4,"2023-09-08 10:34:00"
-121.87251833,38.03378333,21.89,1811,7.74,13.9,2.2,0.54,8.18,93.9,"2023-09-08 10:35:00"
-121.87566833,38.03532667,21.91,2045,7.73,13.7,2.21,0.54,8.2,94.2,"2023-09-08 10:36:00"
-121.87765,38.03610833,21.88,2105,7.73,13.9,2.19,0.54,8.2,94.1,"2023-09-08 10:37:00"
-121.87979333,38.03703167,21.86,2068,7.74,13.4,2.24,0.55,8.19,94,"2023-09-08 10:38:00"
-121.88114167,38.03795833,21.86,1996,7.75,13.2,2.23,0.55,8.2,94.1,"2023-09-08 10:39:00"
-121.882275,38.03886333,21.89,1737,7.77,12.9,2.3,0.56,8.23,94.4,"2023-09-08 10:40:00"
-121.88394,38.040965,21.85,1728,7.77,13.6,2.3,0.56,8.22,94.2,"2023-09-08 10:41:00"
-121.88407667,38.041135,21.96,1887,7.77,13.7,2.36,0.58,8.28,95.1,"2023-09-08 10:42:00"
-121.88863167,38.044965,21.88,2684,7.72,13.7,2.19,0.54,8.22,94.6,"2023-09-08 10:43:00"
-121.89345833,38.04693833,22.02,3152,7.72,11,2.05,0.5,8.21,94.8,"2023-09-08 10:44:00"
-121.89851667,38.04809167,21.94,3278,7.72,12.3,2.13,0.52,8.2,94.6,"2023-09-08 10:45:00"
-121.90377333,38.04855167,21.82,3503,7.72,14.4,2.06,0.5,8.2,94.5,"2023-09-08 10:46:00"
-121.90883333,38.04889833,21.88,3450,7.73,13,1.98,0.48,8.2,94.6,"2023-09-08 10:47:00"
-121.91269167,38.04904167,21.84,3544,7.73,14.1,2.03,0.5,8.19,94.4,"2023-09-08 10:48:00"
-121.91513833,38.048935,21.84,3644,7.74,13.6,2.32,0.57,8.23,94.9,"2023-09-08 10:49:00"
-121.91587333,38.04900667,21.87,3655,7.75,12.8,2.12,0.52,8.24,95,"2023-09-08 10:50:00"
-121.91842667,38.049375,21.88,3886,7.75,15.7,2.24,0.55,8.25,95.3,"2023-09-08 10:51:00"
-121.92261167,38.04977167,21.8,4186,7.75,18.9,2.5,0.61,8.26,95.4,"2023-09-08 10:52:00"
-121.92760667,38.050255,21.8,4310,7.75,19.2,2.26,0.55,8.26,95.4,"2023-09-08 10:53:00"
-121.93282167,38.051095,21.83,4224,7.74,21.5,2.34,0.57,8.23,95.1,"2023-09-08 10:54:00"
-121.93811833,38.05224167,21.79,4387,7.74,20.5,2.23,0.55,8.22,94.9,"2023-09-08 10:55:00"
-121.94069167,38.052975,22.04,4113,7.76,10.8,1.95,0.48,8.28,96,"2023-09-08 10:56:00"
-121.94407,38.05415667,21.82,5785,7.7,13.9,2.06,0.5,8.19,95,"2023-09-08 10:57:00"
-121.947905,38.05573,21.83,5316,7.75,11.3,2.15,0.53,8.28,96,"2023-09-08 10:58:00"
-121.95007667,38.05672833,21.8,5989,7.73,13.6,2.22,0.54,8.23,95.6,"2023-09-08 10:59:00"
-121.95038667,38.05683833,21.86,5916,7.73,11.3,2.06,0.5,8.23,95.6,"2023-09-08 11:00:00"
-121.960405,38.05883333,21.81,6324,7.73,14.2,2.07,0.51,8.23,95.7,"2023-09-08 11:01:00"
-121.96661667,38.05945333,21.84,6231,7.74,11.6,1.98,0.48,8.25,96,"2023-09-08 11:02:00"
-121.96870833,38.05958,21.85,6331,7.74,11,2.07,0.51,8.26,96.1,"2023-09-08 11:03:00"
-121.97344167,38.05996167,21.98,6220,7.75,10.7,1.74,0.42,8.29,96.7,"2023-09-08 11:04:00"
-121.97943833,38.06028,22.03,5559,7.77,8.5,1.67,0.41,8.28,96.4,"2023-09-08 11:05:00"
-121.97943833,38.06028,22.06,5620,7.76,8.9,1.64,0.4,8.29,96.6,"2023-09-08 11:06:00"
-121.97943833,38.06028,21.91,7035,7.74,11.1,2.1,0.51,8.25,96.4,"2023-09-08 11:07:00"
-121.97943833,38.06028,21.94,6650,7.75,9.2,1.8,0.44,8.27,96.5,"2023-09-08 11:08:00"
-121.97943833,38.06028,22,10305,7.71,8.1,2.94,0.72,8.19,96.9,"2023-09-08 11:09:00"
-121.98074667,38.06026167,22.07,10315,7.72,8.1,2.38,0.58,8.19,97,"2023-09-08 11:10:00"
-121.98074667,38.06026167,22.08,11138,7.72,8.6,2.86,0.7,8.17,97.2,"2023-09-08 11:11:00"
-121.98074667,38.06026167,21.85,12051,7.71,9.9,3.1,0.76,8.1,96.1,"2023-09-08 11:12:00"
-122.01101,38.061175,22.07,11694,7.73,8.2,2.73,0.67,8.15,97.1,"2023-09-08 11:13:00"
-122.031735,38.06376,21.91,12275,7.72,8.9,2.68,0.66,8.1,96.4,"2023-09-08 11:14:00"
-122.03867833,38.06353167,21.73,12640,7.73,10.1,3.03,0.75,8.12,96.3,"2023-09-08 11:15:00"
-122.04457167,38.06254667,21.69,12460,7.74,10,3.22,0.79,8.17,96.8,"2023-09-08 11:16:00"
-122.04494333,38.06248833,22.08,12934,7.74,8.6,2.55,0.63,8.17,97.7,"2023-09-08 11:17:00"
-122.04494333,38.06248833,21.77,13439,7.72,9,2.64,0.65,8.07,96.2,"2023-09-08 11:18:00"
-122.04494333,38.06248833,21.99,14462,7.72,9.1,2.86,0.7,8.07,96.9,"2023-09-08 11:19:00"
-122.04494333,38.06248833,21.94,15493,7.72,10,3.26,0.8,8,96.3,"2023-09-08 11:20:00"
-122.04494333,38.06248833,22.09,15259,7.72,9.5,3.15,0.78,8.03,96.9,"2023-09-08 11:21:00"
-122.04494333,38.06248833,21.68,17337,7.7,10.3,3.27,0.81,7.84,94.6,"2023-09-08 11:22:00"
-122.04494333,38.06248833,21.65,17672,7.7,11.2,3.41,0.84,7.84,94.7,"2023-09-08 11:23:00"
-122.04494333,38.06248833,21.81,17827,7.71,10.5,3.69,0.91,7.88,95.5,"2023-09-08 11:24:00"
